Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-0,Route-0,(675.0 0.0 205.5),(375.0 0.0 150.0),341.2643,338.728,-0.06146512,15.0,2.5818666666666674,22.58187,6.848,26.8,,,391.808,402.224,402.224,0.06663956,0.1155884,0.09461033
Truck-10,Route-10,(675.0 0.0 155.5),(375.0 0.0 200.0),341.2643,341.232,-0.0007831977,15.0,2.748800000000002,22.7488,6.84,29.296,,,,,,,,
Truck-12,Route-12,(425.0 0.0 205.5),(125.0 0.0 150.0),341.2643,346.92,0.1370603,15.0,3.128000000000001,23.128,6.84,35.04,,,,,,,,
Truck-1,Route-1,(425.0 0.0 105.5),(125.0 0.0 200.0),344.8487,350.256,0.1205688,17.0,2.9562352941176453,20.60329,6.848,38.368,,,,,,,,
Truck-3,Route-3,(175.0 0.0 205.5),(125.0 0.0 0.0),352.0174,354.16,0.04119084,21.0,2.5790476190476204,16.86476,6.84,42.24,,,,,,,,
Truck-14,Route-14,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,358.664,0.1277773,21.0,2.793523809523809,17.07924,6.84,46.76,,,,,,,,
Truck-6,Route-6,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,361.136,0.1752996,21.0,2.9112380952380965,17.19695,6.84,49.2,,,,,,,,
Truck-13,Route-13,(675.0 0.0 105.5),(625.0 0.0 100.0),369.9391,373.096,0.0451377,31.0,2.357935483870968,12.03536,35.752,32.232,,,,,,,,
Truck-9,Route-9,(675.0 0.0 5.5),(125.0 0.0 200.0),369.9391,374.376,0.06343932,31.0,2.399225806451612,12.07665,6.84,62.456,,,,,,,,
Truck-11,Route-11,(425.0 0.0 55.5),(375.0 0.0 100.0),373.5235,377.312,0.05152836,33.0,2.3427878787878793,11.4337,38.28,30.976,,,,,,,,
Truck-4,Route-4,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,381.296,0.007482635,37.0,2.197189189189189,10.3053,6.84,69.368,,,,,,,,
Truck-7,Route-7,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,386.408,0.02529101,39.0,2.215589743589744,9.907897,6.84,74.464,,,,,,,,
Truck-5,Route-5,(175.0 0.0 155.5),(375.0 0.0 50.0),387.8609,387.544,-0.003606775,41.0,2.1352195121951216,9.452292,29.744,52.744,,,,,,,,
