Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-12,Route-12,(425.0 0.0 155.5),(375.0 0.0 200.0),341.2643,338.736,-0.06127135,2.5824,6.84,26.832,,,432.08,427.256,432.08,0.1706938,0.1765629,0.1736284
Truck-13,Route-13,(675.0 0.0 205.5),(625.0 0.0 150.0),341.2643,343.72,0.05951119,2.914667,6.84,31.752
Truck-1,Route-1,(425.0 0.0 105.5),(375.0 0.0 200.0),344.8487,347.152,0.05135816,2.773648,6.848,35.256
Truck-3,Route-3,(675.0 0.0 55.5),(625.0 0.0 200.0),348.433,351.704,0.0675365,2.721264,6.848,39.744
Truck-7,Route-7,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,357.056,-0.03598931,2.28224,6.84,45.128
Truck-10,Route-10,(425.0 0.0 205.5),(125.0 0.0 0.0),352.0174,358.944,0.1331601,2.806857,6.84,47.008
Truck-8,Route-8,(175.0 0.0 155.5),(375.0 0.0 200.0),359.1861,362.2,0.05092325,2.488,6.84,50.328
Truck-2,Route-2,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,366.352,0.2755738,3.159619,6.848,54.424
Truck-18,Route-18,(425.0 0.0 155.5),(625.0 0.0 200.0),359.1861,370.232,0.1866306,2.80928,9.328,49.808
Truck-6,Route-6,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,380.32,0.2795838,2.974815,6.848,68.392
Truck-19,Route-19,(675.0 0.0 205.5),(125.0 0.0 50.0),366.3548,385.272,0.2850924,2.940414,9.328,64.904
Truck-16,Route-16,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,386.464,0.377464,3.20237,9.336,72.096
Truck-17,Route-17,(675.0 0.0 155.5),(125.0 0.0 150.0),362.7704,387.64,0.3961993,3.245926,35.336,47.24
Truck-11,Route-11,(425.0 0.0 55.5),(375.0 0.0 200.0),373.5235,390.536,0.2313893,2.743515,30.84,54.592
Truck-0,Route-0,(175.0 0.0 205.5),(375.0 0.0 50.0),391.4453,393.536,0.02286351,2.175256,6.848,81.6
Truck-14,Route-14,(175.0 0.0 5.5),(625.0 0.0 200.0),387.8609,396.824,0.1020147,2.361561,6.84,84.864
Truck-9,Route-9,(675.0 0.0 -5.5),(125.0 0.0 50.0),391.4453,399.664,0.08987618,2.317767,35.592,58.92
Truck-15,Route-15,(175.0 0.0 105.5),(125.0 0.0 100.0),369.9391,401.192,0.4468582,3.264258,37.008,56.072
Truck-4,Route-4,(175.0 0.0 105.5),(625.0 0.0 0.0),395.0296,428.816,0.3555356,2.862578,33.808,89.896
Truck-5,Route-5,(175.0 0.0 55.5),(375.0 0.0 50.0),420.1201,432.08,0.09956647,2.238644,40.8,83.224
Truck-104,Route-104,(675.0 0.0 155.5),(375.0 0.0 200.0),341.2643,339.664,-0.03878197,2.644267,7.128,27.536
Truck-101,Route-101,(425.0 0.0 155.5),(375.0 0.0 200.0),341.2643,341.008,-0.006211594,2.733866,7.136,28.872
Truck-119,Route-119,(175.0 0.0 155.5),(125.0 0.0 200.0),341.2643,342.984,0.04167514,2.865601,9.728,28.24
Truck-107,Route-107,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,355.472,0.1453342,2.919578,7.128,43.392
Truck-114,Route-114,(425.0 0.0 205.5),(125.0 0.0 0.0),352.0174,356.432,0.08486862,2.687238,7.128,44.32
Truck-117,Route-117,(675.0 0.0 55.5),(625.0 0.0 200.0),348.433,362.368,0.2877169,3.282527,9.736,47.568
Truck-111,Route-111,(175.0 0.0 205.5),(375.0 0.0 0.0),352.0174,363.832,0.2271287,3.039619,7.128,51.672
Truck-105,Route-105,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,366.928,0.06623491,2.478815,7.128,54.84
Truck-109,Route-109,(675.0 0.0 205.5),(375.0 0.0 50.0),366.3548,369.848,0.05264467,2.408551,7.128,57.752
Truck-108,Route-108,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,372.296,0.3898434,3.442666,7.128,60.144
Truck-118,Route-118,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,375.016,0.1950851,2.77837,11.888,57.824
Truck-102,Route-102,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,377.488,0.004930205,2.213943,7.128,65.368
Truck-113,Route-113,(175.0 0.0 55.5),(375.0 0.0 200.0),366.3548,379.928,0.2045556,2.756138,7.128,67.744
Truck-112,Route-112,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,382.52,0.02265138,2.23027,7.128,70.384
Truck-110,Route-110,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,385.192,0.3571996,3.155259,41.704,35.464
Truck-116,Route-116,(175.0 0.0 5.5),(625.0 0.0 200.0),387.8609,386.776,-0.01234793,2.116488,7.128,74.632
Truck-106,Route-106,(175.0 0.0 -5.5),(375.0 0.0 200.0),380.6922,391.816,0.1378548,2.481514,29.616,57.184
Truck-100,Route-100,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,396.944,0.4609953,3.342896,7.136,84.8
Truck-103,Route-103,(675.0 0.0 5.5),(125.0 0.0 200.0),369.9391,402.216,0.4614998,3.29729,7.128,90.072
Truck-115,Route-115,(425.0 0.0 205.5),(625.0 0.0 0.0),387.8609,427.256,0.4483805,3.103805,32.36,83.816
