Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-7,Route-7,(675.0 0.0 205.5),(625.0 0.0 100.0),350.872,8.312,37.568
Truck-14,Route-14,(675.0 0.0 155.5),(375.0 0.0 200.0),351.92,8.304,38.624
Truck-4,Route-4,(175.0 0.0 194.5),(375.0 0.0 150.0),361.648,18.104,38.552
Truck-15,Route-15,(675.0 0.0 155.5),(375.0 0.0 200.0),365.96,11.248,47.72
Truck-31,Route-31,(425.0 0.0 55.5),(375.0 0.0 200.0),363.632,10.024,48.624
Truck-3,Route-3,(175.0 0.0 155.5),(375.0 0.0 200.0),372.752,8.312,59.456
Truck-22,Route-22,(675.0 0.0 105.5),(625.0 0.0 200.0),380.12,11.056,64.08
Truck-12,Route-12,(175.0 0.0 105.5),(125.0 0.0 100.0),380.704,36.216,39.496
Truck-10,Route-10,(425.0 0.0 194.5),(375.0 0.0 150.0),386.4,18.096,63.312
Truck-17,Route-17,(175.0 0.0 205.5),(375.0 0.0 50.0),388.744,8.304,75.456
Truck-27,Route-27,(425.0 0.0 5.5),(125.0 0.0 200.0),392.72,8.304,79.44
Truck-21,Route-21,(425.0 0.0 155.5),(125.0 0.0 100.0),393.528,36.248,52.28
Truck-16,Route-16,(675.0 0.0 55.5),(625.0 0.0 200.0),394.312,11.256,78.04
Truck-29,Route-29,(425.0 0.0 194.5),(375.0 0.0 150.0),396.488,23.712,63.76
Truck-25,Route-25,(175.0 0.0 155.5),(125.0 0.0 150.0),396.736,41.096,49.632
Truck-19,Route-19,(675.0 0.0 205.5),(125.0 0.0 50.0),397.44,11.256,74.176
Truck-11,Route-11,(175.0 0.0 55.5),(375.0 0.0 200.0),398.128,8.312,84.832
Truck-6,Route-6,(425.0 0.0 155.5),(625.0 0.0 0.0),404.224,31.832,66.4
Truck-9,Route-9,(175.0 0.0 5.5),(125.0 0.0 200.0),404.328,8.312,91.04
Truck-26,Route-26,(675.0 0.0 5.5),(375.0 0.0 200.0),409.44,11.072,93.368
Truck-32,Route-32,(675.0 0.0 155.5),(125.0 0.0 200.0),411.416,10.456,93.952
Truck-18,Route-18,(425.0 0.0 55.5),(625.0 0.0 0.0),415.648,45.536,63.104
Truck-2,Route-2,(425.0 0.0 -5.5),(625.0 0.0 200.0),423.328,44.12,74.216
Truck-5,Route-5,(675.0 0.0 55.5),(125.0 0.0 200.0),425.512,8.32,112.208
Truck-1,Route-1,(425.0 0.0 105.5),(625.0 0.0 200.0),428.632,8.32,115.32
Truck-23,Route-23,(175.0 0.0 5.5),(125.0 0.0 200.0),431.448,11.256,110.192
Truck-8,Route-8,(425.0 0.0 55.5),(375.0 0.0 0.0),432.904,40.888,77.024
Truck-34,Route-34,(425.0 0.0 194.5),(125.0 0.0 50.0),431.144,25.552,93.584
Truck-28,Route-28,(175.0 0.0 55.5),(375.0 0.0 200.0),435.864,38.984,91.864
Truck-20,Route-20,(425.0 0.0 105.5),(625.0 0.0 200.0),439.416,11.264,123.152
Truck-0,Route-0,(675.0 0.0 5.5),(125.0 0.0 150.0),440.624,42.496,91.12
Truck-13,Route-13,(675.0 0.0 105.5),(625.0 0.0 200.0),444.8,24.416,115.4
Truck-30,Route-30,(175.0 0.0 105.5),(375.0 0.0 0.0),441.144,45.784,89.368
Truck-24,Route-24,(175.0 0.0 105.5),(375.0 0.0 50.0),465.2,47.304,112.888
Truck-33,Route-33,(175.0 0.0 205.5),(625.0 0.0 100.0),465.856,11.248,144.624
