Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(175.0 0.0 194.5),(125.0 0.0 100.0),362.768,18.496,39.264
Truck-101,Route-101,(675.0 0.0 155.5),(375.0 0.0 200.0),339.856,7.008,27.864
Truck-102,Route-102,(675.0 0.0 55.5),(125.0 0.0 200.0),369.408,7.016,57.384
Truck-103,Route-103,(675.0 0.0 205.5),(125.0 0.0 150.0),360.288,7.024,48.264
Truck-104,Route-104,(175.0 0.0 105.5),(625.0 0.0 0.0),395.48,34.552,55.944
Truck-105,Route-105,(425.0 0.0 155.5),(375.0 0.0 200.0),339.328,7.024,27.304
Truck-106,Route-106,(175.0 0.0 155.5),(375.0 0.0 100.0),385.264,30.504,49.736
Truck-107,Route-107,(175.0 0.0 5.5),(375.0 0.0 200.0),361.872,7.016,49.848
Truck-108,Route-108,(675.0 0.0 5.5),(125.0 0.0 200.0),715.384,7.016,403.384
Truck-109,Route-109,(675.0 0.0 105.5),(375.0 0.0 200.0),347.144,7.016,35.12
Truck-110,Route-110,(425.0 0.0 105.5),(125.0 0.0 200.0),344.76,7.024,32.728
Truck-111,Route-111,(425.0 0.0 55.5),(625.0 0.0 100.0),391.632,39.088,47.536
Truck-112,Route-112,(425.0 0.0 194.5),(625.0 0.0 0.0),360.048,16.848,38.192
Truck-113,Route-113,(175.0 0.0 55.5),(125.0 0.0 50.0),379.968,38.24,36.728
Truck-114,Route-114,(425.0 0.0 -5.5),(375.0 0.0 200.0),382.288,49.448,27.832
Truck-115,Route-115,(425.0 0.0 155.5),(375.0 0.0 200.0),339.624,7.08,27.536
Truck-116,Route-116,(675.0 0.0 205.5),(625.0 0.0 0.0),356.28,7.016,44.264
Truck-117,Route-117,(175.0 0.0 5.5),(625.0 0.0 200.0),376.392,7.032,64.328
Truck-118,Route-118,(175.0 0.0 55.5),(375.0 0.0 200.0),367.56,7.024,55.536
Truck-119,Route-119,(675.0 0.0 55.5),(625.0 0.0 200.0),349.96,7.016,37.952
Truck-120,Route-120,(175.0 0.0 155.5),(125.0 0.0 150.0),362.472,30.48,26.992
Truck-121,Route-121,(425.0 0.0 55.5),(125.0 0.0 100.0),381.928,39.848,37.088
Truck-122,Route-122,(675.0 0.0 155.5),(125.0 0.0 200.0),355.592,7.024,43.56
Truck-123,Route-123,(675.0 0.0 5.5),(375.0 0.0 50.0),387.72,42.072,40.664
Truck-124,Route-124,(175.0 0.0 105.5),(125.0 0.0 100.0),370.8,34.52,31.272
Truck-125,Route-125,(175.0 0.0 194.5),(125.0 0.0 0.0),403.088,32.608,65.456
Truck-126,Route-126,(425.0 0.0 -5.5),(375.0 0.0 50.0),386.784,37.256,44.504
Truck-127,Route-127,(425.0 0.0 105.5),(125.0 0.0 50.0),380.72,35.088,40.616
Truck-128,Route-128,(425.0 0.0 194.5),(375.0 0.0 0.0),365.728,16.848,43.864
Truck-129,Route-129,(675.0 0.0 105.5),(125.0 0.0 200.0),359.944,7.016,47.92
Truck-130,Route-130,(675.0 0.0 205.5),(125.0 0.0 150.0),354.52,7.024,42.504
Truck-131,Route-131,(175.0 0.0 194.5),(625.0 0.0 50.0),373.336,17.136,51.2
Truck-132,Route-132,(175.0 0.0 105.5),(375.0 0.0 0.0),377.528,34.52,38
Truck-133,Route-133,(175.0 0.0 -5.5),(125.0 0.0 200.0),368.744,16.832,46.92
Truck-134,Route-134,(675.0 0.0 5.5),(375.0 0.0 50.0),388.568,42.528,41.024
Truck-135,Route-135,(425.0 0.0 105.5),(375.0 0.0 150.0),367.656,35.272,27.384
Truck-136,Route-136,(425.0 0.0 -5.5),(125.0 0.0 100.0),396.848,37.16,54.696
Truck-137,Route-137,(425.0 0.0 55.5),(125.0 0.0 200.0),347.608,7.016,35.576
Truck-138,Route-138,(675.0 0.0 105.5),(125.0 0.0 200.0),363.744,30.896,27.832
Truck-139,Route-139,(675.0 0.0 55.5),(375.0 0.0 100.0),380.992,39.048,36.944
