Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(675.0 0.0 -5.5),(625.0 0.0 50.0),380.824,35.712,40.096
Truck-101,Route-101,(175.0 0.0 155.5),(625.0 0.0 200.0),370.928,6.904,58.944
Truck-102,Route-102,(425.0 0.0 55.5),(625.0 0.0 100.0),412.328,37.632,69.616
Truck-103,Route-103,(175.0 0.0 105.5),(625.0 0.0 0.0),391.976,34.048,52.832
Truck-104,Route-104,(175.0 0.0 205.5),(125.0 0.0 150.0),342.984,6.976,30.904
Truck-105,Route-105,(675.0 0.0 105.5),(125.0 0.0 50.0),374.88,34.312,35.472
Truck-106,Route-106,(425.0 0.0 155.5),(625.0 0.0 200.0),354.664,6.96,42.68
Truck-107,Route-107,(675.0 0.0 155.5),(375.0 0.0 200.0),341.84,7,29.8
Truck-108,Route-108,(425.0 0.0 205.5),(375.0 0.0 50.0),351.552,6.896,39.584
Truck-109,Route-109,(425.0 0.0 105.5),(375.0 0.0 200.0),344.312,6.968,32.272
Truck-110,Route-110,(675.0 0.0 55.5),(125.0 0.0 150.0),371.368,37.464,28.832
Truck-111,Route-111,(175.0 0.0 5.5),(625.0 0.0 200.0),375.432,6.96,63.456
Truck-112,Route-112,(425.0 0.0 5.5),(125.0 0.0 200.0),366.608,22.76,38.784
Truck-113,Route-113,(175.0 0.0 55.5),(625.0 0.0 200.0),379.536,6.92,67.52
Truck-114,Route-114,(675.0 0.0 205.5),(375.0 0.0 100.0),343.632,6.912,31.648
Truck-115,Route-115,(675.0 0.0 205.5),(375.0 0.0 0.0),350.04,6.96,38.048
Truck-116,Route-116,(675.0 0.0 5.5),(125.0 0.0 200.0),372.656,6.928,60.704
Truck-117,Route-117,(675.0 0.0 105.5),(625.0 0.0 150.0),386.456,34.28,47.08
Truck-118,Route-118,(175.0 0.0 105.5),(375.0 0.0 200.0),362.96,6.944,50.936
Truck-119,Route-119,(425.0 0.0 105.5),(625.0 0.0 100.0),406.328,34.344,66.928
Truck-120,Route-120,(675.0 0.0 155.5),(375.0 0.0 0.0),377.264,29.864,42.352
Truck-121,Route-121,(425.0 0.0 55.5),(125.0 0.0 200.0),346.888,7.032,34.832
Truck-122,Route-122,(425.0 0.0 155.5),(375.0 0.0 200.0),340.064,6.968,28.08
Truck-123,Route-123,(675.0 0.0 55.5),(125.0 0.0 100.0),374.472,37.56,31.872
Truck-124,Route-124,(175.0 0.0 205.5),(625.0 0.0 50.0),383.944,6.952,71.976
