Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(425.0 0.0 55.5),(625.0 0.0 200.0),383.192,7.064,71.128
Truck-101,Route-101,(425.0 0.0 105.5),(625.0 0.0 200.0),361.04,6.776,49.272
Truck-102,Route-102,(425.0 0.0 205.5),(375.0 0.0 50.0),356.568,6.784,44.784
Truck-103,Route-103,(175.0 0.0 155.5),(625.0 0.0 50.0),414.104,29.904,79.2
Truck-104,Route-104,(425.0 0.0 5.5),(125.0 0.0 200.0),350.208,6.776,38.432
Truck-105,Route-105,(675.0 0.0 105.5),(625.0 0.0 200.0),343.808,6.784,32.032
Truck-106,Route-106,(675.0 0.0 55.5),(625.0 0.0 200.0),352.096,6.776,40.328
Truck-107,Route-107,(675.0 0.0 5.5),(625.0 0.0 200.0),356.792,6.768,45.024
Truck-108,Route-108,(675.0 0.0 205.5),(125.0 0.0 100.0),359.288,22.688,31.592
Truck-109,Route-109,(175.0 0.0 55.5),(375.0 0.0 200.0),363.264,6.792,51.48
Truck-110,Route-110,(175.0 0.0 205.5),(375.0 0.0 0.0),353.392,6.792,41.6
Truck-111,Route-111,(675.0 0.0 155.5),(125.0 0.0 200.0),355.192,6.784,43.392
Truck-112,Route-112,(175.0 0.0 105.5),(125.0 0.0 100.0),373.08,34.08,34.016
Truck-113,Route-113,(425.0 0.0 155.5),(125.0 0.0 200.0),338.976,6.784,27.2
Truck-114,Route-114,(175.0 0.0 5.5),(375.0 0.0 200.0),355.384,6.776,43.632
Truck-115,Route-115,(425.0 0.0 55.5),(625.0 0.0 200.0),378.32,6.776,66.552
Truck-116,Route-116,(175.0 0.0 155.5),(125.0 0.0 200.0),338.608,6.792,26.816
Truck-117,Route-117,(175.0 0.0 205.5),(625.0 0.0 100.0),398.656,6.76,86.896
Truck-118,Route-118,(675.0 0.0 155.5),(625.0 0.0 200.0),339.608,6.776,27.84
Truck-119,Route-119,(175.0 0.0 105.5),(375.0 0.0 200.0),359.408,6.792,47.616
Truck-120,Route-120,(675.0 0.0 105.5),(625.0 0.0 0.0),381.408,34.968,41.424
Truck-121,Route-121,(675.0 0.0 55.5),(375.0 0.0 200.0),348.976,6.768,37.2
Truck-122,Route-122,(675.0 0.0 5.5),(625.0 0.0 200.0),389.44,38.84,45.608
Truck-123,Route-123,(425.0 0.0 105.5),(625.0 0.0 200.0),359.752,6.784,47.976
Truck-124,Route-124,(425.0 0.0 205.5),(125.0 0.0 150.0),338.28,6.776,26.52
Truck-125,Route-125,(425.0 0.0 5.5),(625.0 0.0 200.0),361.192,6.784,49.408
Truck-126,Route-126,(175.0 0.0 55.5),(125.0 0.0 200.0),346.128,6.792,34.352
Truck-127,Route-127,(175.0 0.0 5.5),(375.0 0.0 200.0),355.072,6.776,43.296
Truck-128,Route-128,(675.0 0.0 205.5),(125.0 0.0 50.0),362.592,22.688,34.904
Truck-129,Route-129,(425.0 0.0 155.5),(125.0 0.0 150.0),366.72,30.432,31.312
