Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(175.0 0.0 194.5),(375.0 0.0 0.0),363.744,16.688,42.008
Truck-1,Route-1,(675.0 0.0 5.5),(625.0 0.0 200.0),365.04,6.936,50.776
Truck-2,Route-2,(675.0 0.0 105.5),(125.0 0.0 200.0),359.288,7.048,47.12
Truck-3,Route-3,(675.0 0.0 55.5),(375.0 0.0 150.0),374.432,39.248,30.2
Truck-4,Route-4,(425.0 0.0 205.5),(125.0 0.0 150.0),338.632,6.976,26.616
Truck-5,Route-5,(425.0 0.0 155.5),(625.0 0.0 50.0),386.816,30.288,51.488
Truck-6,Route-6,(175.0 0.0 55.5),(625.0 0.0 200.0),392.272,7.04,80.144
Truck-7,Route-7,(425.0 0.0 105.5),(125.0 0.0 200.0),347.968,6.912,35.936
Truck-8,Route-8,(175.0 0.0 5.5),(625.0 0.0 200.0),371.76,6.944,59.728
Truck-9,Route-9,(675.0 0.0 155.5),(375.0 0.0 200.0),342.128,7.024,29.944
Truck-10,Route-10,(175.0 0.0 105.5),(125.0 0.0 200.0),343.152,6.968,31.128
Truck-11,Route-11,(425.0 0.0 55.5),(125.0 0.0 150.0),374,38.952,30.008
Truck-12,Route-12,(675.0 0.0 205.5),(125.0 0.0 100.0),360.256,7.064,48.12
Truck-13,Route-13,(425.0 0.0 5.5),(125.0 0.0 200.0),350.312,7.032,38.168
Truck-14,Route-14,(175.0 0.0 155.5),(375.0 0.0 50.0),385.312,29.992,50.288
