Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-10,Route-10,(675.0 0.0 155.5),(375.0 0.0 200.0),341.136,6.792,29.312
Truck-22,Route-22,(175.0 0.0 105.5),(125.0 0.0 200.0),344.648,9.192,30.4
Truck-12,Route-12,(425.0 0.0 205.5),(375.0 0.0 50.0),354.12,6.792,42.32
Truck-16,Route-16,(675.0 0.0 155.5),(625.0 0.0 200.0),359.032,9.264,35.736
Truck-19,Route-19,(425.0 0.0 105.5),(375.0 0.0 200.0),362.176,9.2,47.912
Truck-0,Route-0,(425.0 0.0 105.5),(125.0 0.0 200.0),363.936,29.664,29.232
Truck-17,Route-17,(175.0 0.0 205.5),(125.0 0.0 50.0),372.088,9.264,48.76
Truck-5,Route-5,(425.0 0.0 155.5),(625.0 0.0 200.0),372.448,6.8,60.632
Truck-13,Route-13,(425.0 0.0 5.5),(625.0 0.0 200.0),377.856,6.792,66.048
Truck-4,Route-4,(675.0 0.0 5.5),(375.0 0.0 200.0),377.872,6.8,66.048
Truck-15,Route-15,(425.0 0.0 155.5),(625.0 0.0 200.0),379.92,9.272,65.568
Truck-14,Route-14,(675.0 0.0 205.5),(125.0 0.0 50.0),381.248,22.544,53.608
Truck-6,Route-6,(175.0 0.0 105.5),(125.0 0.0 0.0),382.2,33.776,43.344
Truck-9,Route-9,(175.0 0.0 205.5),(375.0 0.0 100.0),383.664,6.792,71.824
Truck-21,Route-21,(425.0 0.0 205.5),(625.0 0.0 100.0),384.08,9.264,63.688
Truck-7,Route-7,(175.0 0.0 155.5),(625.0 0.0 200.0),388.064,6.8,76.24
Truck-2,Route-2,(175.0 0.0 5.5),(375.0 0.0 200.0),388.56,6.8,76.728
Truck-20,Route-20,(425.0 0.0 55.5),(625.0 0.0 200.0),392.072,9.2,77.8
Truck-11,Route-11,(675.0 0.0 55.5),(125.0 0.0 200.0),393.856,6.792,81.976
Truck-24,Route-24,(675.0 0.0 205.5),(125.0 0.0 100.0),398.512,9.184,78.248
Truck-23,Route-23,(175.0 0.0 155.5),(625.0 0.0 200.0),400.176,9.264,79.808
Truck-3,Route-3,(425.0 0.0 55.5),(125.0 0.0 200.0),403.112,30.592,67.416
Truck-18,Route-18,(675.0 0.0 5.5),(125.0 0.0 200.0),411.144,9.272,90.744
Truck-1,Route-1,(675.0 0.0 105.5),(625.0 0.0 100.0),413.16,34.28,67.8
Truck-8,Route-8,(175.0 0.0 55.5),(625.0 0.0 50.0),457.28,36.76,106.448
Truck-105,Route-105,(675.0 0.0 155.5),(625.0 0.0 200.0),340.432,6.976,28.456
Truck-118,Route-118,(675.0 0.0 155.5),(625.0 0.0 200.0),344.48,9.512,29.96
Truck-114,Route-114,(425.0 0.0 205.5),(375.0 0.0 100.0),346.776,6.968,34.8
Truck-110,Route-110,(675.0 0.0 205.5),(625.0 0.0 100.0),348.44,6.968,36.52
Truck-109,Route-109,(425.0 0.0 55.5),(375.0 0.0 200.0),348.736,6.968,36.768
Truck-113,Route-113,(175.0 0.0 5.5),(375.0 0.0 200.0),352.736,6.968,40.784
Truck-100,Route-100,(175.0 0.0 55.5),(125.0 0.0 200.0),353.088,6.984,41.112
Truck-115,Route-115,(675.0 0.0 55.5),(625.0 0.0 200.0),355.256,9.512,40.76
Truck-121,Route-121,(675.0 0.0 5.5),(375.0 0.0 200.0),360.048,6.968,48.088
Truck-103,Route-103,(675.0 0.0 55.5),(125.0 0.0 200.0),363.128,6.976,51.16
Truck-102,Route-102,(175.0 0.0 205.5),(375.0 0.0 150.0),364.392,6.976,52.416
Truck-117,Route-117,(175.0 0.0 205.5),(375.0 0.0 0.0),367.896,9.512,47.384
Truck-119,Route-119,(175.0 0.0 5.5),(375.0 0.0 200.0),368.52,9.504,48.024
Truck-107,Route-107,(175.0 0.0 155.5),(625.0 0.0 200.0),376.464,6.976,64.52
Truck-116,Route-116,(675.0 0.0 105.5),(125.0 0.0 200.0),377.544,36.208,36.32
Truck-111,Route-111,(425.0 0.0 155.5),(125.0 0.0 100.0),384.552,38.776,40.704
Truck-106,Route-106,(675.0 0.0 -5.5),(125.0 0.0 200.0),387.856,33.12,49.672
Truck-104,Route-104,(675.0 0.0 105.5),(375.0 0.0 0.0),389.264,38.96,42.288
Truck-101,Route-101,(425.0 0.0 -5.5),(625.0 0.0 100.0),393.576,56.16,32.36
Truck-122,Route-122,(175.0 0.0 55.5),(375.0 0.0 200.0),400.728,9.512,86.224
Truck-112,Route-112,(425.0 0.0 105.5),(125.0 0.0 100.0),406.72,60.328,35.304
Truck-108,Route-108,(175.0 0.0 105.5),(375.0 0.0 100.0),413.544,47.528,57.96
Truck-124,Route-124,(425.0 0.0 -5.5),(125.0 0.0 150.0),413.616,60.088,48.448
Truck-120,Route-120,(425.0 0.0 105.5),(375.0 0.0 50.0),414.512,68.408,35.056
Truck-123,Route-123,(175.0 0.0 105.5),(625.0 0.0 0.0),437.424,49.32,59.048
