Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-5,Route-5,(675.0 0.0 105.5),(625.0 0.0 200.0),347.12,7.448,34.648
Truck-23,Route-23,(425.0 0.0 155.5),(125.0 0.0 200.0),347.76,9.8,26.968
Truck-14,Route-14,(425.0 0.0 205.5),(125.0 0.0 0.0),350.128,7.44,37.696
Truck-9,Route-9,(425.0 0.0 55.5),(125.0 0.0 200.0),352.936,7.44,40.488
Truck-7,Route-7,(675.0 0.0 55.5),(625.0 0.0 200.0),360.448,7.448,47.968
Truck-1,Route-1,(175.0 0.0 155.5),(375.0 0.0 200.0),363.176,7.456,50.704
Truck-6,Route-6,(675.0 0.0 205.5),(125.0 0.0 100.0),364.712,7.448,52.256
Truck-17,Route-17,(175.0 0.0 55.5),(125.0 0.0 200.0),366.584,9.952,42.584
Truck-10,Route-10,(675.0 0.0 5.5),(375.0 0.0 200.0),369.896,7.44,57.432
Truck-21,Route-21,(675.0 0.0 205.5),(375.0 0.0 50.0),371.432,9.96,56.432
Truck-0,Route-0,(175.0 0.0 205.5),(375.0 0.0 150.0),373.552,7.456,61.096
Truck-15,Route-15,(675.0 0.0 -5.5),(625.0 0.0 50.0),381.08,36.648,39.44
Truck-20,Route-20,(425.0 0.0 205.5),(625.0 0.0 0.0),381.56,9.944,57.56
Truck-24,Route-24,(675.0 0.0 155.5),(375.0 0.0 100.0),382.672,37.544,37.12
Truck-11,Route-11,(675.0 0.0 155.5),(125.0 0.0 200.0),388.544,7.44,76.096
Truck-16,Route-16,(175.0 0.0 155.5),(375.0 0.0 200.0),393.76,9.96,78.752
Truck-22,Route-22,(675.0 0.0 105.5),(125.0 0.0 200.0),399.04,9.96,78.016
Truck-2,Route-2,(425.0 0.0 155.5),(375.0 0.0 0.0),402.872,30.496,67.36
Truck-3,Route-3,(175.0 0.0 105.5),(375.0 0.0 200.0),404.176,7.448,91.72
Truck-19,Route-19,(675.0 0.0 55.5),(375.0 0.0 100.0),404.192,49.536,37.656
Truck-8,Route-8,(425.0 0.0 -5.5),(125.0 0.0 100.0),407.616,41.392,58.224
Truck-18,Route-18,(425.0 0.0 -5.5),(125.0 0.0 0.0),424.24,45.44,67.784
Truck-12,Route-12,(175.0 0.0 5.5),(375.0 0.0 0.0),430.8,41.944,71.784
Truck-13,Route-13,(175.0 0.0 55.5),(625.0 0.0 200.0),434.04,7.44,121.576
Truck-4,Route-4,(425.0 0.0 105.5),(625.0 0.0 150.0),450.336,35.44,106.896
Truck-113,Route-113,(425.0 0.0 155.5),(125.0 0.0 200.0),340.688,6.808,28.912
Truck-116,Route-116,(175.0 0.0 155.5),(125.0 0.0 200.0),344.896,11.568,28.328
Truck-118,Route-118,(675.0 0.0 155.5),(625.0 0.0 200.0),345.384,9.336,30.96
Truck-105,Route-105,(675.0 0.0 105.5),(625.0 0.0 200.0),349.216,6.816,37.392
Truck-124,Route-124,(425.0 0.0 205.5),(125.0 0.0 150.0),355.368,9.352,34.984
Truck-102,Route-102,(425.0 0.0 205.5),(375.0 0.0 50.0),357.984,6.824,46.192
Truck-106,Route-106,(675.0 0.0 55.5),(625.0 0.0 200.0),358.376,6.816,46.568
Truck-107,Route-107,(675.0 0.0 5.5),(625.0 0.0 200.0),358.92,6.816,47.088
Truck-121,Route-121,(675.0 0.0 55.5),(375.0 0.0 200.0),363.84,9.344,49.464
Truck-101,Route-101,(425.0 0.0 105.5),(625.0 0.0 200.0),368.928,6.824,57.112
Truck-126,Route-126,(175.0 0.0 55.5),(125.0 0.0 200.0),369.384,9.344,55.008
Truck-125,Route-125,(425.0 0.0 5.5),(625.0 0.0 200.0),374.6,9.352,60.232
Truck-111,Route-111,(675.0 0.0 155.5),(125.0 0.0 200.0),381.552,6.808,69.744
Truck-123,Route-123,(425.0 0.0 105.5),(625.0 0.0 200.0),383.584,9.352,69.224
Truck-108,Route-108,(675.0 0.0 205.5),(125.0 0.0 50.0),386.328,31.2,50.144
Truck-110,Route-110,(175.0 0.0 205.5),(625.0 0.0 50.0),387.672,6.808,75.888
Truck-100,Route-100,(425.0 0.0 55.5),(625.0 0.0 200.0),388.736,6.824,76.92
Truck-117,Route-117,(175.0 0.0 205.5),(625.0 0.0 100.0),409.928,9.344,89.584
Truck-119,Route-119,(175.0 0.0 105.5),(375.0 0.0 200.0),410.728,9.184,96.56
Truck-128,Route-128,(675.0 0.0 205.5),(125.0 0.0 100.0),413.352,40.376,67.912
Truck-122,Route-122,(675.0 0.0 5.5),(625.0 0.0 0.0),418.416,72.192,41.248
Truck-104,Route-104,(425.0 0.0 5.5),(125.0 0.0 200.0),424.456,6.816,112.656
Truck-115,Route-115,(425.0 0.0 55.5),(625.0 0.0 200.0),427.504,9.352,113.152
Truck-109,Route-109,(175.0 0.0 55.5),(375.0 0.0 200.0),429.568,6.808,117.792
Truck-129,Route-129,(425.0 0.0 155.5),(125.0 0.0 150.0),429.624,46.264,78.36
Truck-120,Route-120,(675.0 0.0 105.5),(625.0 0.0 200.0),430.824,50.04,75.68
Truck-103,Route-103,(175.0 0.0 155.5),(375.0 0.0 0.0),432.84,39.736,85.12
Truck-114,Route-114,(175.0 0.0 5.5),(375.0 0.0 200.0),433.768,6.808,121.984
Truck-127,Route-127,(175.0 0.0 5.5),(375.0 0.0 200.0),437.864,9.336,117.52
Truck-112,Route-112,(175.0 0.0 105.5),(125.0 0.0 100.0),444.104,43.896,83.192
