Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(675.0 0.0 105.5),(625.0 0.0 100.0),373.992,35.416,33.488
Truck-101,Route-101,(425.0 0.0 -5.5),(125.0 0.0 150.0),387.84,36.76,46.016
Truck-102,Route-102,(675.0 0.0 155.5),(375.0 0.0 200.0),339.056,6.832,27.176
Truck-103,Route-103,(425.0 0.0 105.5),(375.0 0.0 150.0),366.856,35.48,26.36
Truck-104,Route-104,(675.0 0.0 55.5),(625.0 0.0 0.0),381.336,38.952,37.328
Truck-105,Route-105,(425.0 0.0 55.5),(125.0 0.0 100.0),389.784,53.56,31.152
Truck-106,Route-106,(675.0 0.0 5.5),(375.0 0.0 100.0),395.568,42,48.528
Truck-107,Route-107,(175.0 0.0 205.5),(375.0 0.0 50.0),367.136,6.84,55.248
Truck-108,Route-108,(175.0 0.0 105.5),(375.0 0.0 0.0),376.584,33.728,37.816
Truck-109,Route-109,(425.0 0.0 205.5),(625.0 0.0 50.0),368.088,6.888,56.152
Truck-110,Route-110,(175.0 0.0 155.5),(125.0 0.0 200.0),338.48,6.88,26.512
Truck-111,Route-111,(175.0 0.0 55.5),(125.0 0.0 200.0),345.776,6.88,33.864
Truck-112,Route-112,(425.0 0.0 155.5),(625.0 0.0 150.0),377.704,29.88,42.768
Truck-113,Route-113,(175.0 0.0 5.5),(375.0 0.0 200.0),355.92,6.848,44.024
Truck-114,Route-114,(675.0 0.0 205.5),(125.0 0.0 100.0),390.16,6.904,78.232
