Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(425.0 0.0 55.5),(625.0 0.0 150.0),404.736,37.44,62.272
Truck-1,Route-1,(175.0 0.0 -5.5),(375.0 0.0 50.0),394.424,35.408,53.984
Truck-2,Route-2,(175.0 0.0 105.5),(125.0 0.0 200.0),344.744,6.936,32.752
Truck-3,Route-3,(425.0 0.0 105.5),(625.0 0.0 200.0),359.96,6.888,47.984
Truck-4,Route-4,(175.0 0.0 205.5),(125.0 0.0 0.0),349.088,6.904,37.12
Truck-5,Route-5,(675.0 0.0 105.5),(375.0 0.0 200.0),343.32,6.808,31.496
Truck-6,Route-6,(175.0 0.0 55.5),(625.0 0.0 200.0),380.344,6.824,68.432
Truck-7,Route-7,(425.0 0.0 205.5),(625.0 0.0 50.0),366.728,6.872,54.816
Truck-8,Route-8,(425.0 0.0 5.5),(375.0 0.0 200.0),355.832,6.816,43.992
Truck-9,Route-9,(425.0 0.0 155.5),(375.0 0.0 200.0),339.848,6.88,27.928
Truck-10,Route-10,(675.0 0.0 155.5),(625.0 0.0 150.0),362.168,29.896,27.224
Truck-11,Route-11,(675.0 0.0 205.5),(625.0 0.0 0.0),353.56,6.928,41.6
Truck-12,Route-12,(175.0 0.0 155.5),(125.0 0.0 200.0),338.8,6.856,26.904
Truck-13,Route-13,(675.0 0.0 5.5),(625.0 0.0 200.0),356.128,6.864,44.232
Truck-14,Route-14,(675.0 0.0 55.5),(375.0 0.0 200.0),366.216,34.248,26.904
