Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-9,Route-9,(425.0 0.0 155.5),(375.0 0.0 200.0),338.848,6.936,26.8
Truck-12,Route-12,(175.0 0.0 155.5),(125.0 0.0 200.0),340.736,6.936,28.688
Truck-5,Route-5,(675.0 0.0 105.5),(375.0 0.0 200.0),343.696,6.936,31.64
Truck-2,Route-2,(175.0 0.0 105.5),(125.0 0.0 200.0),348.136,6.936,36.104
Truck-4,Route-4,(175.0 0.0 205.5),(125.0 0.0 0.0),356.568,6.936,44.544
Truck-13,Route-13,(675.0 0.0 5.5),(625.0 0.0 200.0),358.296,6.936,46.224
Truck-8,Route-8,(425.0 0.0 5.5),(375.0 0.0 200.0),359.24,6.936,47.168
Truck-11,Route-11,(675.0 0.0 205.5),(625.0 0.0 0.0),359.536,6.936,47.464
Truck-10,Route-10,(675.0 0.0 155.5),(625.0 0.0 150.0),362.752,29.928,27.728
Truck-3,Route-3,(425.0 0.0 105.5),(625.0 0.0 200.0),365.888,6.936,53.864
Truck-14,Route-14,(675.0 0.0 55.5),(375.0 0.0 200.0),366.2,34.36,26.768
Truck-7,Route-7,(425.0 0.0 205.5),(625.0 0.0 50.0),366.856,6.936,54.792
Truck-6,Route-6,(175.0 0.0 55.5),(625.0 0.0 200.0),400.432,6.936,88.368
Truck-1,Route-1,(175.0 0.0 5.5),(375.0 0.0 50.0),411.888,41.704,62.096
Truck-0,Route-0,(425.0 0.0 55.5),(625.0 0.0 150.0),413.808,37.664,71.08
Truck-111,Route-111,(425.0 0.0 155.5),(125.0 0.0 200.0),340.664,6.984,28.616
Truck-108,Route-108,(675.0 0.0 155.5),(625.0 0.0 200.0),340.904,6.984,28.84
Truck-112,Route-112,(675.0 0.0 205.5),(375.0 0.0 100.0),350.24,6.984,38.2
Truck-117,Route-117,(675.0 0.0 205.5),(625.0 0.0 50.0),354.776,9.632,40.176
Truck-105,Route-105,(675.0 0.0 105.5),(125.0 0.0 200.0),361.928,6.992,49.872
Truck-113,Route-113,(425.0 0.0 205.5),(625.0 0.0 0.0),364.576,6.984,52.536
Truck-107,Route-107,(675.0 0.0 -5.5),(375.0 0.0 200.0),364.776,32.576,27.176
Truck-101,Route-101,(425.0 0.0 5.5),(125.0 0.0 200.0),369.096,6.992,57.024
Truck-102,Route-102,(425.0 0.0 55.5),(625.0 0.0 200.0),369.64,6.992,57.592
Truck-114,Route-114,(175.0 0.0 5.5),(625.0 0.0 200.0),373.832,6.984,61.776
Truck-106,Route-106,(425.0 0.0 105.5),(125.0 0.0 50.0),380.24,35.448,39.72
Truck-119,Route-119,(425.0 0.0 -5.5),(625.0 0.0 200.0),381.856,44.456,32.368
Truck-103,Route-103,(175.0 0.0 205.5),(625.0 0.0 50.0),382.752,6.992,70.712
Truck-116,Route-116,(425.0 0.0 105.5),(125.0 0.0 150.0),383.144,39.448,32.608
Truck-100,Route-100,(175.0 0.0 155.5),(625.0 0.0 200.0),386.968,6.992,74.896
Truck-115,Route-115,(425.0 0.0 55.5),(375.0 0.0 100.0),388.376,43.512,30.832
Truck-118,Route-118,(675.0 0.0 55.5),(125.0 0.0 100.0),393.976,42.88,34.048
Truck-104,Route-104,(675.0 0.0 55.5),(125.0 0.0 50.0),404.16,37.6,37.472
Truck-110,Route-110,(175.0 0.0 105.5),(375.0 0.0 50.0),405.096,42.512,57.568
Truck-109,Route-109,(175.0 0.0 55.5),(375.0 0.0 0.0),413.088,51.224,56.808
