Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(175.0 0.0 5.5),(375.0 0.0 200.0),356,6.896,44.08
Truck-101,Route-101,(425.0 0.0 205.5),(125.0 0.0 50.0),346.504,6.872,34.584
Truck-102,Route-102,(675.0 0.0 -5.5),(375.0 0.0 150.0),368.88,37.56,26.272
Truck-103,Route-103,(425.0 0.0 105.5),(375.0 0.0 200.0),374.128,22.672,46.44
Truck-104,Route-104,(675.0 0.0 105.5),(625.0 0.0 0.0),380.248,35.632,39.544
Truck-105,Route-105,(175.0 0.0 155.5),(625.0 0.0 200.0),369.928,6.904,57.944
Truck-106,Route-106,(675.0 0.0 55.5),(375.0 0.0 0.0),385.512,38.928,41.504
Truck-107,Route-107,(425.0 0.0 5.5),(375.0 0.0 50.0),399.616,40.712,53.864
Truck-108,Route-108,(425.0 0.0 55.5),(625.0 0.0 150.0),405.072,37.52,62.488
Truck-109,Route-109,(175.0 0.0 205.5),(375.0 0.0 100.0),363.104,6.904,51.144
