Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-1,Route-1,(675.0 0.0 105.5),(625.0 0.0 200.0),344.56,6.88,32.608
Truck-2,Route-2,(425.0 0.0 205.5),(125.0 0.0 200.0),360.84,29.032,26.752
Truck-4,Route-4,(175.0 0.0 55.5),(375.0 0.0 200.0),374.496,30.856,38.608
Truck-0,Route-0,(675.0 0.0 155.5),(125.0 0.0 200.0),381.672,37.96,38.6
Truck-3,Route-3,(175.0 0.0 105.5),(625.0 0.0 200.0),391.976,6.872,80.048
Truck-100,Route-100,(675.0 0.0 155.5),(375.0 0.0 200.0),339.248,6.888,27.336
Truck-108,Route-108,(175.0 0.0 155.5),(125.0 0.0 200.0),341.624,6.888,29.712
Truck-109,Route-109,(675.0 0.0 205.5),(375.0 0.0 50.0),346.912,6.888,35
Truck-107,Route-107,(175.0 0.0 205.5),(375.0 0.0 0.0),363.016,6.888,51.08
Truck-106,Route-106,(175.0 0.0 55.5),(375.0 0.0 200.0),365.208,6.888,53.288
Truck-102,Route-102,(675.0 0.0 -5.5),(375.0 0.0 200.0),366.168,29.504,31.56
Truck-104,Route-104,(675.0 0.0 55.5),(125.0 0.0 200.0),370.6,6.888,58.672
Truck-101,Route-101,(425.0 0.0 155.5),(125.0 0.0 100.0),371.112,30.68,35.368
Truck-105,Route-105,(425.0 0.0 -5.5),(625.0 0.0 0.0),379.528,37.192,37.328
Truck-103,Route-103,(425.0 0.0 55.5),(625.0 0.0 200.0),393.976,29.44,59.448
