Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 0)","(625, 0, 0)"
1,1,"(375, 0, 150)","(625, 0, 0)"
2,2,"(375, 0, 0)","(375, 0, 100)"
3,3,"(125, 0, 150)","(375, 0, 150)"
4,4,"(375, 0, 100)","(625, 0, 100)"
5,5,"(625, 0, 150)","(125, 0, 50)"
6,6,"(625, 0, 100)","(125, 0, 200)"
7,7,"(375, 0, 150)","(625, 0, 200)"
8,8,"(375, 0, 100)","(125, 0, 100)"
9,9,"(625, 0, 50)","(375, 0, 0)"
10,10,"(125, 0, 50)","(375, 0, 50)"
11,11,"(625, 0, 150)","(375, 0, 100)"
12,12,"(625, 0, 50)","(625, 0, 150)"
13,13,"(375, 0, 150)","(625, 0, 200)"
14,14,"(375, 0, 150)","(125, 0, 150)"
15,15,"(375, 0, 150)","(625, 0, 200)"
16,16,"(625, 0, 50)","(125, 0, 100)"
17,17,"(125, 0, 200)","(125, 0, 100)"
18,18,"(125, 0, 0)","(125, 0, 200)"
19,19,"(125, 0, 50)","(125, 0, 0)"
20,20,"(125, 0, 50)","(625, 0, 200)"
21,21,"(625, 0, 100)","(375, 0, 0)"
22,22,"(375, 0, 150)","(375, 0, 0)"
23,23,"(125, 0, 200)","(375, 0, 100)"
24,24,"(375, 0, 200)","(625, 0, 0)"
25,25,"(375, 0, 0)","(625, 0, 200)"
26,26,"(125, 0, 200)","(375, 0, 150)"
27,27,"(125, 0, 0)","(625, 0, 150)"
28,28,"(625, 0, 0)","(375, 0, 150)"
29,29,"(125, 0, 100)","(625, 0, 100)"
30,30,"(625, 0, 0)","(375, 0, 200)"
31,31,"(375, 0, 200)","(375, 0, 50)"
32,32,"(625, 0, 50)","(125, 0, 50)"
33,33,"(125, 0, 200)","(625, 0, 200)"
34,34,"(375, 0, 150)","(625, 0, 150)"
35,35,"(125, 0, 100)","(125, 0, 0)"
36,36,"(625, 0, 150)","(375, 0, 50)"
37,37,"(625, 0, 0)","(625, 0, 100)"
38,38,"(625, 0, 150)","(375, 0, 100)"
39,39,"(125, 0, 150)","(625, 0, 150)"
40,40,"(125, 0, 150)","(125, 0, 0)"
41,41,"(625, 0, 100)","(625, 0, 150)"
42,42,"(625, 0, 150)","(625, 0, 200)"
43,43,"(625, 0, 100)","(125, 0, 150)"
44,44,"(125, 0, 50)","(125, 0, 100)"
45,45,"(125, 0, 200)","(625, 0, 200)"
46,46,"(125, 0, 150)","(375, 0, 100)"
47,47,"(375, 0, 200)","(375, 0, 0)"
48,48,"(375, 0, 50)","(125, 0, 50)"
49,49,"(375, 0, 0)","(375, 0, 100)"
