Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 200)","(625, 0, 0)"
1,1,"(625, 0, 200)","(625, 0, 50)"
2,2,"(375, 0, 100)","(375, 0, 200)"
3,3,"(625, 0, 100)","(625, 0, 200)"
4,4,"(125, 0, 150)","(375, 0, 200)"
5,5,"(125, 0, 50)","(125, 0, 200)"
6,6,"(125, 0, 200)","(375, 0, 150)"
7,7,"(125, 0, 200)","(625, 0, 100)"
8,8,"(375, 0, 200)","(125, 0, 50)"
9,9,"(625, 0, 200)","(125, 0, 0)"
10,10,"(125, 0, 100)","(625, 0, 200)"
11,11,"(375, 0, 200)","(625, 0, 0)"
12,12,"(375, 0, 200)","(375, 0, 50)"
13,13,"(625, 0, 200)","(125, 0, 150)"
14,14,"(625, 0, 150)","(125, 0, 200)"
15,15,"(625, 0, 200)","(375, 0, 0)"
16,16,"(125, 0, 200)","(125, 0, 100)"
17,17,"(125, 0, 200)","(625, 0, 150)"
18,18,"(375, 0, 200)","(375, 0, 0)"
19,19,"(375, 0, 200)","(375, 0, 50)"
