Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 200)","(125, 0, 50)"
1,1,"(625, 0, 150)","(625, 0, 0)"
2,2,"(125, 0, 150)","(375, 0, 150)"
3,3,"(375, 0, 100)","(125, 0, 0)"
4,4,"(375, 0, 100)","(125, 0, 200)"
5,5,"(375, 0, 0)","(125, 0, 200)"
6,6,"(625, 0, 150)","(125, 0, 50)"
7,7,"(625, 0, 0)","(125, 0, 200)"
8,8,"(625, 0, 0)","(375, 0, 150)"
9,9,"(375, 0, 0)","(625, 0, 100)"
10,10,"(375, 0, 150)","(625, 0, 150)"
11,11,"(625, 0, 0)","(125, 0, 100)"
12,12,"(375, 0, 150)","(375, 0, 0)"
13,13,"(125, 0, 150)","(625, 0, 50)"
14,14,"(375, 0, 200)","(125, 0, 200)"
15,15,"(375, 0, 100)","(625, 0, 200)"
16,16,"(375, 0, 200)","(375, 0, 0)"
17,17,"(125, 0, 50)","(625, 0, 100)"
18,18,"(375, 0, 200)","(375, 0, 150)"
19,19,"(125, 0, 150)","(375, 0, 0)"
20,20,"(625, 0, 150)","(375, 0, 50)"
21,21,"(375, 0, 200)","(125, 0, 200)"
22,22,"(625, 0, 0)","(375, 0, 150)"
23,23,"(125, 0, 0)","(375, 0, 150)"
24,24,"(375, 0, 0)","(125, 0, 200)"
25,25,"(125, 0, 150)","(125, 0, 0)"
26,26,"(375, 0, 0)","(375, 0, 200)"
27,27,"(375, 0, 100)","(125, 0, 200)"
28,28,"(375, 0, 150)","(375, 0, 0)"
29,29,"(375, 0, 100)","(125, 0, 50)"
