Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 0)","(125, 0, 0)"
1,1,"(125, 0, 150)","(375, 0, 0)"
2,2,"(125, 0, 150)","(625, 0, 150)"
3,3,"(625, 0, 100)","(375, 0, 150)"
4,4,"(625, 0, 0)","(375, 0, 200)"
5,5,"(375, 0, 200)","(625, 0, 200)"
6,6,"(625, 0, 0)","(375, 0, 50)"
7,7,"(625, 0, 150)","(375, 0, 0)"
8,8,"(125, 0, 150)","(375, 0, 50)"
9,9,"(375, 0, 150)","(625, 0, 100)"
10,10,"(375, 0, 0)","(375, 0, 50)"
11,11,"(125, 0, 200)","(375, 0, 100)"
12,12,"(125, 0, 100)","(375, 0, 0)"
13,13,"(125, 0, 100)","(625, 0, 0)"
14,14,"(125, 0, 50)","(375, 0, 150)"
15,15,"(375, 0, 200)","(125, 0, 150)"
16,16,"(375, 0, 150)","(625, 0, 200)"
17,17,"(375, 0, 200)","(625, 0, 200)"
18,18,"(375, 0, 150)","(375, 0, 0)"
19,19,"(625, 0, 150)","(375, 0, 50)"
20,20,"(125, 0, 200)","(625, 0, 200)"
21,21,"(375, 0, 50)","(625, 0, 150)"
22,22,"(375, 0, 100)","(125, 0, 50)"
23,23,"(375, 0, 150)","(125, 0, 100)"
24,24,"(625, 0, 0)","(375, 0, 150)"
25,25,"(375, 0, 200)","(125, 0, 200)"
26,26,"(625, 0, 150)","(375, 0, 200)"
27,27,"(375, 0, 50)","(125, 0, 200)"
28,28,"(625, 0, 100)","(625, 0, 50)"
29,29,"(625, 0, 50)","(125, 0, 150)"
