Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 50)","(375, 0, 200)"
1,1,"(125, 0, 100)","(125, 0, 0)"
2,2,"(125, 0, 150)","(625, 0, 150)"
3,3,"(375, 0, 0)","(375, 0, 50)"
4,4,"(125, 0, 100)","(625, 0, 200)"
5,5,"(125, 0, 100)","(375, 0, 150)"
6,6,"(125, 0, 150)","(625, 0, 50)"
7,7,"(375, 0, 100)","(375, 0, 200)"
8,8,"(125, 0, 0)","(375, 0, 0)"
9,9,"(125, 0, 50)","(625, 0, 50)"
10,10,"(375, 0, 0)","(625, 0, 100)"
11,11,"(625, 0, 50)","(375, 0, 100)"
12,12,"(375, 0, 150)","(625, 0, 100)"
13,13,"(125, 0, 100)","(375, 0, 150)"
14,14,"(625, 0, 200)","(375, 0, 200)"
15,15,"(625, 0, 50)","(375, 0, 200)"
16,16,"(125, 0, 0)","(375, 0, 200)"
17,17,"(375, 0, 50)","(125, 0, 100)"
18,18,"(125, 0, 100)","(625, 0, 200)"
19,19,"(125, 0, 0)","(375, 0, 50)"
20,20,"(375, 0, 0)","(375, 0, 50)"
21,21,"(125, 0, 0)","(625, 0, 150)"
22,22,"(125, 0, 0)","(375, 0, 0)"
23,23,"(125, 0, 200)","(625, 0, 200)"
24,24,"(125, 0, 150)","(625, 0, 100)"
25,25,"(625, 0, 150)","(125, 0, 200)"
26,26,"(375, 0, 0)","(625, 0, 150)"
27,27,"(125, 0, 100)","(375, 0, 0)"
28,28,"(125, 0, 0)","(125, 0, 200)"
29,29,"(625, 0, 200)","(625, 0, 0)"
