Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 100)","(125, 0, 50)"
1,1,"(375, 0, 0)","(625, 0, 200)"
2,2,"(375, 0, 50)","(625, 0, 150)"
3,3,"(125, 0, 50)","(625, 0, 50)"
4,4,"(125, 0, 200)","(125, 0, 100)"
5,5,"(625, 0, 0)","(375, 0, 0)"
6,6,"(125, 0, 200)","(625, 0, 100)"
7,7,"(125, 0, 50)","(625, 0, 100)"
8,8,"(625, 0, 100)","(625, 0, 0)"
9,9,"(375, 0, 100)","(625, 0, 50)"
10,10,"(625, 0, 100)","(125, 0, 100)"
11,11,"(125, 0, 150)","(625, 0, 50)"
12,12,"(625, 0, 0)","(625, 0, 100)"
13,13,"(125, 0, 50)","(375, 0, 50)"
14,14,"(375, 0, 100)","(625, 0, 150)"
15,15,"(625, 0, 50)","(375, 0, 150)"
16,16,"(125, 0, 100)","(375, 0, 100)"
17,17,"(625, 0, 200)","(375, 0, 0)"
18,18,"(375, 0, 100)","(125, 0, 150)"
19,19,"(625, 0, 150)","(625, 0, 100)"
20,20,"(125, 0, 50)","(375, 0, 150)"
21,21,"(625, 0, 50)","(625, 0, 150)"
22,22,"(625, 0, 50)","(625, 0, 150)"
23,23,"(375, 0, 200)","(625, 0, 0)"
24,24,"(375, 0, 0)","(375, 0, 200)"
25,25,"(375, 0, 50)","(375, 0, 200)"
26,26,"(625, 0, 50)","(125, 0, 50)"
27,27,"(375, 0, 150)","(625, 0, 150)"
28,28,"(125, 0, 100)","(375, 0, 200)"
29,29,"(125, 0, 150)","(625, 0, 50)"
30,30,"(625, 0, 50)","(375, 0, 150)"
31,31,"(375, 0, 150)","(125, 0, 150)"
32,32,"(375, 0, 0)","(625, 0, 150)"
33,33,"(625, 0, 150)","(625, 0, 100)"
34,34,"(375, 0, 200)","(125, 0, 200)"
35,35,"(625, 0, 150)","(125, 0, 200)"
36,36,"(125, 0, 100)","(125, 0, 200)"
37,37,"(125, 0, 100)","(375, 0, 50)"
38,38,"(375, 0, 200)","(375, 0, 50)"
39,39,"(125, 0, 0)","(125, 0, 100)"
40,40,"(375, 0, 50)","(375, 0, 0)"
41,41,"(125, 0, 50)","(375, 0, 200)"
42,42,"(125, 0, 50)","(125, 0, 100)"
43,43,"(375, 0, 100)","(125, 0, 0)"
44,44,"(625, 0, 100)","(125, 0, 50)"
45,45,"(375, 0, 50)","(375, 0, 150)"
46,46,"(625, 0, 100)","(625, 0, 0)"
47,47,"(125, 0, 100)","(625, 0, 0)"
48,48,"(125, 0, 150)","(625, 0, 50)"
49,49,"(375, 0, 200)","(625, 0, 200)"
50,50,"(375, 0, 50)","(125, 0, 0)"
51,51,"(625, 0, 50)","(625, 0, 150)"
52,52,"(375, 0, 200)","(625, 0, 200)"
53,53,"(375, 0, 200)","(125, 0, 150)"
54,54,"(125, 0, 100)","(375, 0, 100)"
55,55,"(375, 0, 150)","(125, 0, 150)"
56,56,"(375, 0, 100)","(125, 0, 150)"
57,57,"(375, 0, 150)","(625, 0, 100)"
58,58,"(375, 0, 0)","(625, 0, 100)"
59,59,"(375, 0, 100)","(625, 0, 200)"
