Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT
Truck-12,Route-12,(675.0 0.0 105.5),(625.0 0.0 200.0),211.964,5.792,46.132
Truck-7,Route-7,(175.0 0.0 -5.5),(375.0 0.0 100.0),212.492,18.016,34.428
Truck-106,Route-106,(175.0 0.0 5.5),(125.0 0.0 50.0),213.288,5.156,37.988
Truck-6,Route-6,(175.0 0.0 205.5),(625.0 0.0 200.0),215.252,5.792,49.424
Truck-109,Route-109,(175.0 0.0 205.5),(375.0 0.0 0.0),219.304,5.156,54.092
Truck-111,Route-111,(425.0 0.0 -5.5),(625.0 0.0 200.0),220.656,14.696,45.916
Truck-9,Route-9,(425.0 0.0 155.5),(125.0 0.0 0.0),225.928,5.792,45.944
Truck-113,Route-113,(675.0 0.0 105.5),(375.0 0.0 50.0),243.308,8.02,32.768
Truck-5,Route-5,(675.0 0.0 155.5),(125.0 0.0 0.0),243.764,8.54,75.168
Truck-123,Route-123,(175.0 0.0 205.5),(125.0 0.0 0.0),245.448,7.892,47.152
Truck-8,Route-8,(675.0 0.0 55.5),(125.0 0.0 150.0),246.128,5.796,59.08
Truck-4,Route-4,(425.0 0.0 205.5),(625.0 0.0 50.0),246.828,5.796,63.796
Truck-11,Route-11,(175.0 0.0 105.5),(125.0 0.0 150.0),248.936,5.792,69.948
Truck-18,Route-18,(175.0 0.0 55.5),(125.0 0.0 100.0),249,8.532,72.348
Truck-22,Route-22,(175.0 0.0 155.5),(375.0 0.0 100.0),250.304,5.788,84.484
Truck-100,Route-100,(675.0 0.0 155.5),(625.0 0.0 200.0),251.872,45.992,45.836
Truck-25,Route-25,(425.0 0.0 105.5),(625.0 0.0 100.0),252.176,38.576,53.56
Truck-2,Route-2,(675.0 0.0 155.5),(125.0 0.0 50.0),253.692,5.796,51.416
Truck-125,Route-125,(675.0 0.0 55.5),(375.0 0.0 200.0),256.832,8.092,42.232
Truck-124,Route-124,(675.0 0.0 55.5),(125.0 0.0 150.0),257.632,8.072,59.164
Truck-0,Route-0,(425.0 0.0 55.5),(625.0 0.0 100.0),258.604,5.8,92.764
Truck-110,Route-110,(425.0 0.0 5.5),(375.0 0.0 200.0),259.44,5.16,61.904
Truck-104,Route-104,(675.0 0.0 155.5),(125.0 0.0 0.0),263.556,25.68,40.376
Truck-118,Route-118,(425.0 0.0 205.5),(625.0 0.0 50.0),266.456,5.156,64.86
Truck-107,Route-107,(675.0 0.0 105.5),(375.0 0.0 0.0),267.616,41.668,52.792
Truck-23,Route-23,(175.0 0.0 155.5),(625.0 0.0 150.0),268.076,8.532,99.492
Truck-116,Route-116,(175.0 0.0 5.5),(375.0 0.0 100.0),270.204,7.892,64.896
Truck-103,Route-103,(425.0 0.0 105.5),(625.0 0.0 200.0),277.228,32.664,84.536
Truck-105,Route-105,(675.0 0.0 105.5),(125.0 0.0 100.0),281.94,53.116,68.784
Truck-17,Route-17,(175.0 0.0 55.5),(625.0 0.0 50.0),286.816,5.78,94.644
Truck-119,Route-119,(425.0 0.0 105.5),(625.0 0.0 150.0),288.232,7.896,80.956
Truck-29,Route-29,(175.0 0.0 105.5),(375.0 0.0 100.0),293.108,8.536,105.264
Truck-127,Route-127,(425.0 0.0 55.5),(375.0 0.0 100.0),310.152,8.044,81.452
Truck-126,Route-126,(175.0 0.0 105.5),(375.0 0.0 200.0),319.372,7.896,53.464
Truck-128,Route-128,(675.0 0.0 155.5),(375.0 0.0 50.0),321.384,32.544,47.056
Truck-13,Route-13,(675.0 0.0 5.5),(625.0 0.0 150.0),326.3,38.388,76.356
Truck-26,Route-26,(675.0 0.0 5.5),(375.0 0.0 150.0),326.532,8.532,38.632
Truck-10,Route-10,(425.0 0.0 55.5),(125.0 0.0 150.0),329.652,35.244,75.872
Truck-15,Route-15,(675.0 0.0 155.5),(625.0 0.0 100.0),332.288,8.048,81.556
Truck-1,Route-1,(175.0 0.0 -5.5),(125.0 0.0 50.0),333.8,67.772,62.476
Truck-115,Route-115,(675.0 0.0 105.5),(125.0 0.0 0.0),338.308,42.72,31.468
Truck-14,Route-14,(425.0 0.0 -5.5),(625.0 0.0 100.0),338.624,45.7,75.252
Truck-102,Route-102,(675.0 0.0 55.5),(625.0 0.0 150.0),345.768,35.832,37.964
Truck-117,Route-117,(425.0 0.0 55.5),(375.0 0.0 150.0),345.932,7.9,68.94
Truck-121,Route-121,(675.0 0.0 55.5),(125.0 0.0 150.0),346.76,47.152,72.88
Truck-112,Route-112,(175.0 0.0 155.5),(625.0 0.0 50.0),347.208,5.156,117.4
Truck-19,Route-19,(425.0 0.0 105.5),(125.0 0.0 50.0),354.108,35.456,43.484
Truck-3,Route-3,(425.0 0.0 -5.5),(375.0 0.0 150.0),354.648,49.844,18.432
Truck-114,Route-114,(175.0 0.0 155.5),(625.0 0.0 100.0),355.292,7.892,126.888
Truck-21,Route-21,(425.0 0.0 105.5),(625.0 0.0 50.0),366.84,8.536,84.956
Truck-108,Route-108,(175.0 0.0 105.5),(625.0 0.0 150.0),368.736,5.16,120.824
Truck-101,Route-101,(425.0 0.0 55.5),(375.0 0.0 150.0),374.716,5.164,71.3
Truck-129,Route-129,(675.0 0.0 155.5),(625.0 0.0 50.0),379.088,31.904,88.076
Truck-24,Route-24,(675.0 0.0 205.5),(125.0 0.0 0.0),387.072,41.8,45.872
Truck-20,Route-20,(425.0 0.0 55.5),(125.0 0.0 150.0),403.248,47.092,37.792
Truck-27,Route-27,(175.0 0.0 -5.5),(375.0 0.0 50.0),404.288,17.564,34.9
Truck-120,Route-120,(675.0 0.0 55.5),(125.0 0.0 150.0),426.052,40.336,69.436
Truck-122,Route-122,(675.0 0.0 55.5),(625.0 0.0 100.0),433.132,38.272,92.316
Truck-28,Route-28,(175.0 0.0 -5.5),(375.0 0.0 50.0),461.088,17.572,50.484
Truck-16,Route-16,(675.0 0.0 205.5),(625.0 0.0 50.0),488.428,33.62,98.264
