Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT
Truck-12,Route-12,(675.0 0.0 105.5),(625.0 0.0 200.0),251.715,6.035,44.76
Truck-6,Route-6,(175.0 0.0 205.5),(625.0 0.0 200.0),255.455,6.03,48.66
Truck-9,Route-9,(425.0 0.0 155.5),(125.0 0.0 0.0),256.29,6.035,49.36
Truck-27,Route-27,(175.0 0.0 -5.5),(375.0 0.0 50.0),256.84,20.945,35.045
Truck-7,Route-7,(175.0 0.0 -5.5),(375.0 0.0 100.0),260.62,20.285,39.555
Truck-25,Route-25,(425.0 0.0 105.5),(625.0 0.0 100.0),293.26,38.535,53.33
Truck-22,Route-22,(175.0 0.0 155.5),(375.0 0.0 100.0),297.41,6.025,90.37
Truck-18,Route-18,(175.0 0.0 55.5),(125.0 0.0 100.0),308.015,8.435,70.3
Truck-23,Route-23,(175.0 0.0 155.5),(625.0 0.0 150.0),317.37,8.43,108.265
Truck-21,Route-21,(425.0 0.0 105.5),(625.0 0.0 50.0),318.74,8.435,79.73
Truck-11,Route-11,(175.0 0.0 105.5),(125.0 0.0 150.0),318.75,6.03,80.97
Truck-19,Route-19,(425.0 0.0 105.5),(125.0 0.0 50.0),318.785,39,50.66
Truck-5,Route-5,(675.0 0.0 155.5),(125.0 0.0 0.0),318.83,8.445,64.95
Truck-8,Route-8,(675.0 0.0 55.5),(125.0 0.0 150.0),321.14,6.035,60.185
Truck-0,Route-0,(425.0 0.0 55.5),(625.0 0.0 100.0),321.51,6.05,102.95
Truck-3,Route-3,(425.0 0.0 -5.5),(375.0 0.0 150.0),339.98,50.25,25.44
Truck-17,Route-17,(175.0 0.0 55.5),(625.0 0.0 50.0),347.59,6.01,95.525
Truck-28,Route-28,(175.0 0.0 -5.5),(375.0 0.0 50.0),346.08,23.125,30.43
Truck-29,Route-29,(175.0 0.0 105.5),(375.0 0.0 100.0),361.065,8.44,92.59
Truck-101,Route-101,(175.0 0.0 155.5),(125.0 0.0 0.0),250.135,6.1,43.25
Truck-137,Route-137,(425.0 0.0 205.5),(375.0 0.0 50.0),269.72,8.17,41.225
Truck-100,Route-100,(675.0 0.0 205.5),(625.0 0.0 100.0),285.24,6.1,37.645
Truck-119,Route-119,(175.0 0.0 105.5),(375.0 0.0 100.0),294.755,6.085,88.135
Truck-107,Route-107,(675.0 0.0 55.5),(375.0 0.0 150.0),295.83,6.095,35.515
Truck-134,Route-134,(675.0 0.0 5.5),(125.0 0.0 100.0),291.205,7.965,50.155
Truck-13,Route-13,(675.0 0.0 5.5),(625.0 0.0 150.0),408.165,39.33,80.54
Truck-111,Route-111,(425.0 0.0 5.5),(375.0 0.0 200.0),296.925,8.48,45.415
Truck-102,Route-102,(175.0 0.0 55.5),(625.0 0.0 200.0),307.33,6.095,73.615
Truck-131,Route-131,(675.0 0.0 105.5),(625.0 0.0 50.0),307.32,8.465,70.2
Truck-10,Route-10,(425.0 0.0 55.5),(125.0 0.0 150.0),419.015,34.51,66.41
Truck-109,Route-109,(175.0 0.0 155.5),(125.0 0.0 50.0),307.43,8.48,76.845
