Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(675.0 0.0 105.5),(125.0 0.0 50.0),378.056,36.968,36.016
Truck-101,Route-101,(175.0 0.0 205.5),(125.0 0.0 100.0),357.96,7.008,45.96
Truck-102,Route-102,(175.0 0.0 155.5),(625.0 0.0 150.0),395.064,30.464,59.6
Truck-103,Route-103,(175.0 0.0 105.5),(125.0 0.0 200.0),387.864,34.568,48.304
Truck-104,Route-104,(675.0 0.0 205.5),(625.0 0.0 0.0),358.448,7.032,46.408
Truck-105,Route-105,(425.0 0.0 205.5),(375.0 0.0 150.0),344.752,7.024,32.752
Truck-106,Route-106,(675.0 0.0 55.5),(375.0 0.0 200.0),380.272,29.84,45.432
Truck-107,Route-107,(425.0 0.0 105.5),(625.0 0.0 200.0),361.168,7.032,49.144
Truck-108,Route-108,(675.0 0.0 155.5),(625.0 0.0 50.0),371.008,30.44,35.576
Truck-109,Route-109,(425.0 0.0 55.5),(625.0 0.0 200.0),363.968,7.016,51.952
