Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(675.0 0.0 5.5),(125.0 0.0 150.0),398.352,43.184,50.152
Truck-1,Route-1,(425.0 0.0 105.5),(625.0 0.0 200.0),364.416,7.032,52.368
Truck-2,Route-2,(425.0 0.0 -5.5),(625.0 0.0 200.0),386.504,42.696,38.752
Truck-3,Route-3,(175.0 0.0 155.5),(375.0 0.0 200.0),357.864,7.008,45.864
Truck-4,Route-4,(175.0 0.0 194.5),(375.0 0.0 150.0),350.856,16.84,29.04
Truck-5,Route-5,(675.0 0.0 55.5),(125.0 0.0 200.0),365.968,7.024,53.928
Truck-6,Route-6,(425.0 0.0 155.5),(625.0 0.0 0.0),375.192,30.48,39.712
Truck-7,Route-7,(675.0 0.0 205.5),(625.0 0.0 100.0),355.168,7.008,43.16
Truck-8,Route-8,(425.0 0.0 55.5),(375.0 0.0 0.0),386.864,40.136,41.736
Truck-9,Route-9,(175.0 0.0 5.5),(125.0 0.0 200.0),359.064,7.048,47.024
Truck-10,Route-10,(425.0 0.0 194.5),(375.0 0.0 150.0),358.168,16.832,36.328
Truck-11,Route-11,(175.0 0.0 55.5),(375.0 0.0 200.0),367.096,7.016,55.056
Truck-12,Route-12,(175.0 0.0 105.5),(125.0 0.0 100.0),374.968,34.528,35.448
Truck-13,Route-13,(675.0 0.0 105.5),(625.0 0.0 200.0),379.584,23.144,51.448
Truck-14,Route-14,(675.0 0.0 155.5),(375.0 0.0 200.0),342.384,7.024,30.328
Truck-15,Route-15,(675.0 0.0 155.5),(375.0 0.0 200.0),342.36,7.024,30.328
Truck-16,Route-16,(675.0 0.0 55.5),(625.0 0.0 200.0),351.704,7.024,39.672
Truck-17,Route-17,(175.0 0.0 205.5),(375.0 0.0 50.0),369.904,7.016,57.888
Truck-18,Route-18,(425.0 0.0 55.5),(625.0 0.0 0.0),383.864,39.016,39.848
Truck-19,Route-19,(675.0 0.0 205.5),(125.0 0.0 50.0),365.248,7.016,53.232
Truck-20,Route-20,(425.0 0.0 105.5),(625.0 0.0 200.0),364.344,7.016,52.344
Truck-21,Route-21,(425.0 0.0 155.5),(125.0 0.0 100.0),373.888,30.44,38.44
Truck-22,Route-22,(675.0 0.0 105.5),(625.0 0.0 200.0),348.68,7.016,36.664
Truck-23,Route-23,(175.0 0.0 5.5),(125.0 0.0 200.0),360.504,7.024,48.48
Truck-24,Route-24,(175.0 0.0 105.5),(375.0 0.0 50.0),394.032,34.648,54.384
Truck-25,Route-25,(175.0 0.0 155.5),(125.0 0.0 150.0),364.888,30.8,29.088
Truck-26,Route-26,(675.0 0.0 5.5),(375.0 0.0 200.0),353.56,7.016,41.552
Truck-27,Route-27,(425.0 0.0 5.5),(125.0 0.0 200.0),353.512,7.024,41.464
Truck-28,Route-28,(175.0 0.0 55.5),(375.0 0.0 200.0),377,31.688,40.312
Truck-29,Route-29,(425.0 0.0 194.5),(375.0 0.0 150.0),354.232,16.848,32.352
Truck-30,Route-30,(175.0 0.0 105.5),(375.0 0.0 0.0),380.52,35.68,39.824
Truck-31,Route-31,(425.0 0.0 55.5),(375.0 0.0 200.0),351.944,7.032,39.864
Truck-32,Route-32,(675.0 0.0 155.5),(125.0 0.0 200.0),358.016,7.024,45.992
Truck-33,Route-33,(175.0 0.0 205.5),(625.0 0.0 100.0),387.584,7.016,75.552
Truck-34,Route-34,(425.0 0.0 194.5),(125.0 0.0 50.0),378.328,16.848,56.488
