Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT
Truck-0,Route-0,(425.0 0.0 205.5),(375.0 0.0 150.0),340.288,7.328,31.948
Truck-1,Route-1,(675.0 0.0 5.5),(375.0 0.0 200.0),368.7,23.176,44.52
Truck-2,Route-2,(175.0 0.0 55.5),(625.0 0.0 50.0),404.54,36.548,66.988
Truck-3,Route-3,(175.0 0.0 194.5),(375.0 0.0 150.0),345.076,16.892,27.176
Truck-4,Route-4,(675.0 0.0 5.5),(625.0 0.0 200.0),356.844,7.004,48.836
Truck-5,Route-5,(675.0 0.0 55.5),(375.0 0.0 200.0),344.644,7.008,36.628
Truck-6,Route-6,(425.0 0.0 -5.5),(125.0 0.0 200.0),393.98,44.872,48.096
Truck-7,Route-7,(175.0 0.0 194.5),(125.0 0.0 150.0),354.856,18.516,35.332
Truck-8,Route-8,(425.0 0.0 55.5),(125.0 0.0 200.0),345.864,7,36.632
Truck-9,Route-9,(675.0 0.0 5.5),(375.0 0.0 200.0),347.936,7.004,39.632
Truck-10,Route-10,(675.0 0.0 205.5),(375.0 0.0 50.0),346.072,7.004,38.056
Truck-11,Route-11,(175.0 0.0 55.5),(625.0 0.0 100.0),401.44,36.584,63.848
Truck-12,Route-12,(175.0 0.0 155.5),(625.0 0.0 0.0),383.668,44.988,37.652
Truck-13,Route-13,(175.0 0.0 5.5),(375.0 0.0 200.0),351.812,7,43.796
Truck-14,Route-14,(175.0 0.0 55.5),(375.0 0.0 100.0),385.644,36.564,48.064
Truck-15,Route-15,(675.0 0.0 155.5),(125.0 0.0 200.0),352.852,23.432,28.412
Truck-16,Route-16,(175.0 0.0 55.5),(625.0 0.0 200.0),389.872,34.148,54.716
Truck-17,Route-17,(175.0 0.0 155.5),(125.0 0.0 100.0),362.58,29.196,32.372
Truck-18,Route-18,(175.0 0.0 55.5),(375.0 0.0 200.0),360.648,7.012,52.628
Truck-19,Route-19,(675.0 0.0 205.5),(375.0 0.0 100.0),342.912,7.012,34.884
Truck-20,Route-20,(425.0 0.0 105.5),(375.0 0.0 200.0),341.792,7.004,33.776
Truck-21,Route-21,(675.0 0.0 55.5),(125.0 0.0 0.0),399.128,36.464,61.648
Truck-22,Route-22,(675.0 0.0 55.5),(625.0 0.0 150.0),364.648,36.648,26.992
Truck-23,Route-23,(675.0 0.0 5.5),(625.0 0.0 200.0),369.988,23.184,45.792
Truck-24,Route-24,(425.0 0.0 205.5),(375.0 0.0 50.0),350.456,7.012,42.432
Truck-25,Route-25,(175.0 0.0 -5.5),(625.0 0.0 200.0),358.652,19.508,38.132
Truck-26,Route-26,(175.0 0.0 105.5),(625.0 0.0 100.0),396.764,33.544,62.208
Truck-27,Route-27,(675.0 0.0 55.5),(375.0 0.0 50.0),378.508,36.688,40.808
Truck-28,Route-28,(675.0 0.0 155.5),(125.0 0.0 50.0),368.668,30.644,37.012
Truck-29,Route-29,(175.0 0.0 155.5),(625.0 0.0 150.0),388.752,44.968,42.776
Truck-30,Route-30,(425.0 0.0 205.5),(125.0 0.0 100.0),342.824,7.004,34.808
Truck-31,Route-31,(175.0 0.0 5.5),(375.0 0.0 200.0),351.728,7.012,43.708
Truck-32,Route-32,(425.0 0.0 -5.5),(375.0 0.0 200.0),380.924,46.588,33.276
Truck-33,Route-33,(675.0 0.0 155.5),(625.0 0.0 100.0),364.516,30.296,33.212
Truck-34,Route-34,(675.0 0.0 55.5),(375.0 0.0 50.0),378.352,36.588,40.76
Truck-35,Route-35,(425.0 0.0 155.5),(625.0 0.0 200.0),352.028,7,44.016
Truck-36,Route-36,(175.0 0.0 -5.5),(125.0 0.0 200.0),365.516,16.884,47.612
Truck-37,Route-37,(175.0 0.0 55.5),(375.0 0.0 100.0),388.36,54.876,32.472
Truck-38,Route-38,(675.0 0.0 105.5),(125.0 0.0 200.0),357.088,7.008,49.072
Truck-39,Route-39,(175.0 0.0 155.5),(125.0 0.0 150.0),357.408,29.228,27.168
