Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-22,Route-22,(175.0 0.0 155.5),(125.0 0.0 200.0),346.664,11.4,29.28
Truck-26,Route-26,(425.0 0.0 155.5),(125.0 0.0 200.0),349.656,11.416,32.256
Truck-43,Route-43,(675.0 0.0 105.5),(625.0 0.0 200.0),352.392,9.936,37.464
Truck-30,Route-30,(425.0 0.0 155.5),(125.0 0.0 200.0),356.312,10.528,39.784
Truck-35,Route-35,(675.0 0.0 205.5),(625.0 0.0 100.0),361.168,10.48,42.672
Truck-27,Route-27,(425.0 0.0 105.5),(125.0 0.0 200.0),370.472,11.216,54.256
Truck-54,Route-54,(675.0 0.0 5.5),(625.0 0.0 200.0),363.872,10.52,45.32
Truck-5,Route-5,(675.0 0.0 55.5),(375.0 0.0 200.0),371.136,8.496,57.648
Truck-14,Route-14,(175.0 0.0 155.5),(375.0 0.0 200.0),376.144,8.48,62.664
Truck-9,Route-9,(425.0 0.0 55.5),(125.0 0.0 200.0),382.456,8.488,68.976
Truck-2,Route-2,(425.0 0.0 205.5),(375.0 0.0 0.0),386.616,8.504,73.12
Truck-52,Route-52,(675.0 0.0 105.5),(375.0 0.0 200.0),382.912,10.192,67.744
Truck-18,Route-18,(425.0 0.0 205.5),(375.0 0.0 50.0),389.824,11.432,68.424
Truck-4,Route-4,(675.0 0.0 205.5),(125.0 0.0 50.0),390.952,8.504,77.456
Truck-20,Route-20,(675.0 0.0 205.5),(125.0 0.0 0.0),394.72,11.424,77.312
Truck-16,Route-16,(175.0 0.0 205.5),(125.0 0.0 50.0),395.792,11.408,74.408
Truck-7,Route-7,(425.0 0.0 155.5),(625.0 0.0 200.0),397.32,8.496,83.84
Truck-51,Route-51,(425.0 0.0 155.5),(375.0 0.0 200.0),390.632,10.568,74.064
Truck-36,Route-36,(425.0 0.0 205.5),(375.0 0.0 100.0),393.92,10.48,68.4
Truck-56,Route-56,(675.0 0.0 205.5),(375.0 0.0 0.0),395.624,10.584,70.032
Truck-39,Route-39,(425.0 0.0 105.5),(125.0 0.0 100.0),402.392,41.976,54.408
Truck-41,Route-41,(175.0 0.0 205.5),(125.0 0.0 0.0),403.664,10.472,78.168
Truck-21,Route-21,(675.0 0.0 55.5),(375.0 0.0 200.0),410.624,11.424,93.216
Truck-13,Route-13,(175.0 0.0 105.5),(375.0 0.0 200.0),417.168,8.48,103.704
Truck-12,Route-12,(425.0 0.0 -5.5),(625.0 0.0 150.0),417.232,55.816,29.408
Truck-58,Route-58,(425.0 0.0 55.5),(125.0 0.0 100.0),410.808,55.056,50.744
Truck-29,Route-29,(175.0 0.0 105.5),(375.0 0.0 0.0),418.888,41.792,72.088
Truck-40,Route-40,(425.0 0.0 55.5),(125.0 0.0 200.0),418.208,46.104,67.112
Truck-0,Route-0,(675.0 0.0 155.5),(125.0 0.0 200.0),422.944,8.512,109.44
Truck-48,Route-48,(425.0 0.0 205.5),(375.0 0.0 100.0),418.712,10.56,86.16
Truck-8,Route-8,(675.0 0.0 5.5),(375.0 0.0 200.0),427,8.496,113.512
Truck-10,Route-10,(175.0 0.0 205.5),(625.0 0.0 100.0),427.608,8.48,114.144
Truck-6,Route-6,(675.0 0.0 105.5),(125.0 0.0 0.0),429.68,38.312,86.36
Truck-25,Route-25,(675.0 0.0 155.5),(125.0 0.0 50.0),432.104,41.064,81.024
Truck-15,Route-15,(425.0 0.0 5.5),(375.0 0.0 200.0),443.4,8.48,129.928
Truck-17,Route-17,(675.0 0.0 5.5),(125.0 0.0 200.0),451.456,11.416,134.04
Truck-42,Route-42,(675.0 0.0 155.5),(125.0 0.0 0.0),451.088,47.496,93.6
Truck-11,Route-11,(175.0 0.0 -5.5),(625.0 0.0 150.0),457.352,41.432,108.912
Truck-53,Route-53,(675.0 0.0 55.5),(625.0 0.0 200.0),450.616,10.568,131.024
Truck-38,Route-38,(675.0 0.0 55.5),(125.0 0.0 200.0),460.168,10.536,142.64
Truck-47,Route-47,(425.0 0.0 5.5),(625.0 0.0 200.0),467.576,11.4,146.192
Truck-19,Route-19,(175.0 0.0 -5.5),(375.0 0.0 50.0),468.688,50.664,108.024
Truck-55,Route-55,(675.0 0.0 155.5),(125.0 0.0 100.0),465.112,53.696,100.392
Truck-37,Route-37,(675.0 0.0 5.5),(125.0 0.0 200.0),471.752,10.528,155.224
Truck-23,Route-23,(175.0 0.0 55.5),(125.0 0.0 0.0),477.984,49.872,112.08
Truck-31,Route-31,(425.0 0.0 -5.5),(125.0 0.0 100.0),479.984,65.704,100.28
Truck-3,Route-3,(175.0 0.0 55.5),(375.0 0.0 200.0),481.152,8.504,167.656
Truck-57,Route-57,(425.0 0.0 105.5),(625.0 0.0 200.0),475.512,11.896,158.552
Truck-45,Route-45,(175.0 0.0 205.5),(375.0 0.0 100.0),481.864,10.512,151.328
Truck-46,Route-46,(175.0 0.0 155.5),(375.0 0.0 200.0),485.304,10.512,167.776
Truck-24,Route-24,(425.0 0.0 55.5),(625.0 0.0 200.0),493.048,11.416,176.656
