Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-1,Route-1,(675.0 0.0 105.5),(375.0 0.0 200.0),348.624,8.584,34.992
Truck-11,Route-11,(425.0 0.0 105.5),(125.0 0.0 200.0),349.488,8.576,35.88
Truck-5,Route-5,(425.0 0.0 55.5),(375.0 0.0 200.0),354.032,8.584,40.424
Truck-3,Route-3,(675.0 0.0 205.5),(625.0 0.0 50.0),355.28,8.584,41.64
Truck-7,Route-7,(675.0 0.0 55.5),(375.0 0.0 200.0),363.712,8.576,50.096
Truck-8,Route-8,(175.0 0.0 5.5),(125.0 0.0 200.0),364.96,8.576,51.328
Truck-9,Route-9,(425.0 0.0 194.5),(625.0 0.0 0.0),365.128,18.352,41.744
Truck-10,Route-10,(175.0 0.0 205.5),(375.0 0.0 150.0),368.72,8.576,55.08
Truck-18,Route-18,(175.0 0.0 -5.5),(125.0 0.0 200.0),376.688,18.352,53.304
Truck-13,Route-13,(175.0 0.0 155.5),(375.0 0.0 200.0),392.184,8.568,78.584
Truck-4,Route-4,(675.0 0.0 155.5),(125.0 0.0 150.0),396.168,32.08,59.064
Truck-17,Route-17,(425.0 0.0 155.5),(125.0 0.0 0.0),398.416,37.448,53.96
Truck-6,Route-6,(175.0 0.0 105.5),(375.0 0.0 150.0),406.496,36.2,65.28
Truck-0,Route-0,(425.0 0.0 155.5),(625.0 0.0 150.0),409.728,32.088,71.544
Truck-16,Route-16,(675.0 0.0 155.5),(125.0 0.0 50.0),415.752,36.648,70.112
Truck-14,Route-14,(675.0 0.0 5.5),(375.0 0.0 100.0),420.008,45.968,56.032
Truck-15,Route-15,(675.0 0.0 5.5),(125.0 0.0 100.0),420.584,50.808,64.776
Truck-2,Route-2,(425.0 0.0 -5.5),(375.0 0.0 200.0),420.744,47.936,67.792
Truck-12,Route-12,(175.0 0.0 55.5),(625.0 0.0 150.0),438.776,39.92,83.728
Truck-19,Route-19,(425.0 0.0 -5.5),(375.0 0.0 50.0),441.016,41.288,68.712
Truck-109,Route-109,(425.0 0.0 205.5),(125.0 0.0 100.0),346.816,7.088,34.736
Truck-104,Route-104,(175.0 0.0 105.5),(125.0 0.0 200.0),348.216,7.096,36.136
Truck-107,Route-107,(675.0 0.0 55.5),(625.0 0.0 200.0),352.112,7.088,40.032
Truck-113,Route-113,(425.0 0.0 105.5),(375.0 0.0 200.0),353.456,7.088,41.368
Truck-117,Route-117,(175.0 0.0 55.5),(125.0 0.0 200.0),354.24,9.832,39.392
Truck-106,Route-106,(675.0 0.0 155.5),(125.0 0.0 200.0),358.896,7.088,46.816
Truck-102,Route-102,(675.0 0.0 205.5),(125.0 0.0 150.0),360.64,7.096,48.552
Truck-118,Route-118,(175.0 0.0 194.5),(375.0 0.0 50.0),363.448,16.88,37.584
Truck-116,Route-116,(425.0 0.0 5.5),(625.0 0.0 200.0),363.912,7.08,51.832
Truck-114,Route-114,(175.0 0.0 5.5),(125.0 0.0 200.0),364.912,7.088,52.848
Truck-115,Route-115,(425.0 0.0 205.5),(625.0 0.0 150.0),370.192,10,53.184
Truck-108,Route-108,(425.0 0.0 155.5),(625.0 0.0 0.0),375.952,31.368,39.584
Truck-105,Route-105,(675.0 0.0 105.5),(625.0 0.0 100.0),381.984,40.624,36.328
Truck-110,Route-110,(175.0 0.0 155.5),(375.0 0.0 150.0),401.072,50.296,45.76
Truck-103,Route-103,(425.0 0.0 55.5),(625.0 0.0 100.0),405.52,46.016,51.456
Truck-112,Route-112,(175.0 0.0 205.5),(625.0 0.0 50.0),406.312,7.088,94.232
Truck-101,Route-101,(175.0 0.0 55.5),(375.0 0.0 100.0),413.44,53.08,55.376
Truck-100,Route-100,(425.0 0.0 -5.5),(375.0 0.0 0.0),428.12,68.288,54.84
Truck-119,Route-119,(675.0 0.0 5.5),(125.0 0.0 150.0),444.528,91.456,48.056
Truck-111,Route-111,(675.0 0.0 5.5),(125.0 0.0 0.0),448.088,76.552,66.52
