Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT
Truck-45,Route-45,(175.0 0.0 205.5),(625.0 0.0 200.0),215.704,8.464,46.228
Truck-4,Route-4,(425.0 0.0 105.5),(625.0 0.0 200.0),286.856,43.568,41.12
Truck-7,Route-7,(425.0 0.0 155.5),(625.0 0.0 200.0),310.036,5.456,44.568
Truck-15,Route-15,(675.0 0.0 5.5),(375.0 0.0 200.0),318.072,5.456,52.604
Truck-47,Route-47,(425.0 0.0 205.5),(375.0 0.0 50.0),320.452,8.544,48.9
Truck-49,Route-49,(175.0 0.0 5.5),(125.0 0.0 200.0),332.348,8.468,62.872
Truck-25,Route-25,(425.0 0.0 -5.5),(625.0 0.0 200.0),340.584,50.74,29.828
Truck-31,Route-31,(425.0 0.0 205.5),(625.0 0.0 0.0),365.912,8.468,49.228
Truck-26,Route-26,(175.0 0.0 205.5),(125.0 0.0 100.0),371.956,5.452,44.24
Truck-17,Route-17,(175.0 0.0 105.5),(375.0 0.0 100.0),374.792,36.84,47.788
Truck-38,Route-38,(675.0 0.0 155.5),(375.0 0.0 100.0),401.128,5.452,35.664
Truck-46,Route-46,(425.0 0.0 105.5),(125.0 0.0 100.0),396.708,8.556,28.132
Truck-35,Route-35,(175.0 0.0 105.5),(125.0 0.0 0.0),408.164,8.6,39.544
Truck-10,Route-10,(175.0 0.0 55.5),(375.0 0.0 50.0),444.908,5.452,79.444
Truck-5,Route-5,(675.0 0.0 55.5),(625.0 0.0 200.0),490.352,37.108,44.652
Truck-42,Route-42,(675.0 0.0 105.5),(125.0 0.0 200.0),489.476,8.584,49.172
Truck-14,Route-14,(675.0 0.0 205.5),(625.0 0.0 200.0),500.08,50.288,51.256
Truck-36,Route-36,(425.0 0.0 5.5),(625.0 0.0 200.0),511.576,8.544,65.292
Truck-18,Route-18,(175.0 0.0 5.5),(625.0 0.0 150.0),545.672,5.452,88.824
Truck-21,Route-21,(675.0 0.0 105.5),(125.0 0.0 150.0),542.772,8.544,49.688
Truck-39,Route-39,(425.0 0.0 55.5),(125.0 0.0 50.0),545.76,8.468,18.608
Truck-9,Route-9,(675.0 0.0 55.5),(375.0 0.0 0.0),545.912,8.472,44.904
Truck-2,Route-2,(425.0 0.0 5.5),(625.0 0.0 0.0),546.756,8.472,38.708
Truck-28,Route-28,(675.0 0.0 5.5),(625.0 0.0 100.0),549.192,8.468,42.168
Truck-13,Route-13,(425.0 0.0 155.5),(375.0 0.0 0.0),549.412,8.468,51.464
Truck-12,Route-12,(675.0 0.0 55.5),(125.0 0.0 100.0),549.792,8.544,52.696
Truck-23,Route-23,(425.0 0.0 105.5),(625.0 0.0 100.0),546.836,8.6,84.864
Truck-0,Route-0,(425.0 0.0 5.5),(375.0 0.0 100.0),555.796,5.46,49.82
Truck-44,Route-44,(175.0 0.0 55.5),(625.0 0.0 200.0),567.524,8.564,76.116
Truck-19,Route-19,(425.0 0.0 55.5),(125.0 0.0 0.0),578.688,23.068,32.992
Truck-37,Route-37,(675.0 0.0 5.5),(375.0 0.0 100.0),575.288,83.204,33.672
Truck-32,Route-32,(675.0 0.0 55.5),(125.0 0.0 50.0),574.636,8.584,34.332
Truck-20,Route-20,(175.0 0.0 55.5),(125.0 0.0 100.0),585.924,8.468,67.864
Truck-48,Route-48,(425.0 0.0 55.5),(125.0 0.0 0.0),591.648,45.172,39.888
Truck-43,Route-43,(675.0 0.0 105.5),(375.0 0.0 50.0),615.656,67.256,36.724
Truck-11,Route-11,(675.0 0.0 105.5),(625.0 0.0 150.0),725.72,8.472,65.18
Truck-41,Route-41,(675.0 0.0 105.5),(375.0 0.0 0.0),720.66,8.604,41.672
Truck-29,Route-29,(175.0 0.0 105.5),(375.0 0.0 150.0),729.376,40.82,52
Truck-24,Route-24,(425.0 0.0 205.5),(375.0 0.0 0.0),729.624,5.452,48.604
Truck-33,Route-33,(175.0 0.0 105.5),(625.0 0.0 100.0),726.74,8.564,107.276
Truck-8,Route-8,(425.0 0.0 105.5),(375.0 0.0 100.0),733.516,39.564,80.832
Truck-27,Route-27,(175.0 0.0 -5.5),(375.0 0.0 100.0),761.952,14.96,43.464
Truck-40,Route-40,(175.0 0.0 155.5),(625.0 0.0 150.0),770.98,5.444,93.1
Truck-34,Route-34,(425.0 0.0 155.5),(625.0 0.0 0.0),778.172,8.6,58.116
Truck-6,Route-6,(675.0 0.0 105.5),(125.0 0.0 50.0),825.884,69.524,54.924
Truck-30,Route-30,(675.0 0.0 5.5),(375.0 0.0 150.0),903.436,8.568,51.892
Truck-16,Route-16,(675.0 0.0 55.5),(625.0 0.0 150.0),900.484,8.604,70.08
Truck-3,Route-3,(425.0 0.0 105.5),(375.0 0.0 150.0),909.456,32.3,73.608
Truck-1,Route-1,(675.0 0.0 205.5),(125.0 0.0 150.0),924.66,41.268,18.46
Truck-22,Route-22,(425.0 0.0 155.5),(625.0 0.0 150.0),948.824,8.568,77.4
