Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT
Truck-0,Route-0,(425.0 0.0 194.5),(125.0 0.0 50.0),289.89,43.315,46.545
Truck-1,Route-1,(175.0 0.0 -5.5),(625.0 0.0 200.0),253.705,14.16,39.525
Truck-2,Route-2,(675.0 0.0 205.5),(625.0 0.0 150.0),318.995,39.635,79.335
Truck-3,Route-3,(425.0 0.0 5.5),(625.0 0.0 50.0),325.96,31.375,94.56
Truck-4,Route-4,(175.0 0.0 205.5),(125.0 0.0 100.0),241.05,4.725,36.295
Truck-5,Route-5,(675.0 0.0 5.5),(375.0 0.0 0.0),222.7,4.72,17.96
Truck-6,Route-6,(175.0 0.0 155.5),(625.0 0.0 100.0),291.66,30.135,61.5
Truck-7,Route-7,(425.0 0.0 5.5),(625.0 0.0 100.0),321.29,30.535,90.73
Truck-8,Route-8,(675.0 0.0 105.5),(625.0 0.0 0.0),239.535,4.725,34.785
Truck-9,Route-9,(425.0 0.0 105.5),(625.0 0.0 50.0),280.13,4.73,75.37
Truck-10,Route-10,(675.0 0.0 105.5),(125.0 0.0 100.0),238.425,4.72,33.685
Truck-11,Route-11,(175.0 0.0 155.5),(625.0 0.0 50.0),299.375,4.72,94.62
Truck-12,Route-12,(175.0 0.0 -5.5),(625.0 0.0 100.0),261.435,29.89,31.515
Truck-13,Route-13,(425.0 0.0 5.5),(375.0 0.0 50.0),302.19,30.605,71.56
Truck-14,Route-14,(425.0 0.0 105.5),(625.0 0.0 150.0),281.455,4.74,76.69
Truck-15,Route-15,(175.0 0.0 -5.5),(375.0 0.0 150.0),291.125,59.695,31.41
Truck-16,Route-16,(175.0 0.0 105.5),(375.0 0.0 100.0),283.97,4.735,79.205
Truck-17,Route-17,(675.0 0.0 205.5),(375.0 0.0 0.0),247.09,4.725,42.34
Truck-18,Route-18,(425.0 0.0 105.5),(125.0 0.0 150.0),232.415,4.725,27.665
Truck-19,Route-19,(425.0 0.0 194.5),(625.0 0.0 100.0),305.205,37.62,67.56
Truck-20,Route-20,(175.0 0.0 155.5),(375.0 0.0 150.0),343.52,65.57,77.925
Truck-21,Route-21,(675.0 0.0 55.5),(625.0 0.0 150.0),267.68,4.72,62.935
Truck-22,Route-22,(175.0 0.0 -5.5),(625.0 0.0 150.0),319.22,56.255,62.93
Truck-23,Route-23,(675.0 0.0 205.5),(625.0 0.0 0.0),267.625,21.425,46.175
Truck-24,Route-24,(175.0 0.0 -5.5),(375.0 0.0 200.0),252.09,14.16,37.905
Truck-25,Route-25,(425.0 0.0 55.5),(375.0 0.0 200.0),243.08,4.72,38.33
Truck-26,Route-26,(175.0 0.0 -5.5),(125.0 0.0 50.0),298.105,61.01,37.065
Truck-27,Route-27,(675.0 0.0 205.5),(625.0 0.0 150.0),311.405,34.66,76.72
Truck-28,Route-28,(425.0 0.0 105.5),(375.0 0.0 200.0),271.3,20.44,50.84
Truck-29,Route-29,(175.0 0.0 155.5),(625.0 0.0 50.0),299.83,4.745,95.06
Truck-30,Route-30,(175.0 0.0 -5.5),(375.0 0.0 150.0),293.885,61.87,31.99
Truck-31,Route-31,(425.0 0.0 155.5),(125.0 0.0 150.0),222.72,4.73,17.965
Truck-32,Route-32,(175.0 0.0 -5.5),(625.0 0.0 150.0),265.18,14.465,50.695
Truck-33,Route-33,(425.0 0.0 194.5),(625.0 0.0 100.0),304.635,37.68,66.94
Truck-34,Route-34,(675.0 0.0 205.5),(125.0 0.0 200.0),238.475,20.47,17.975
Truck-35,Route-35,(675.0 0.0 155.5),(125.0 0.0 200.0),248.945,4.72,44.21
Truck-36,Route-36,(175.0 0.0 105.5),(125.0 0.0 200.0),239.475,4.725,34.735
Truck-37,Route-37,(175.0 0.0 155.5),(375.0 0.0 50.0),331.49,56.2,75.27
Truck-38,Route-38,(425.0 0.0 205.5),(375.0 0.0 50.0),246.165,4.715,41.435
Truck-39,Route-39,(175.0 0.0 5.5),(125.0 0.0 100.0),243.515,4.715,38.785
Truck-40,Route-40,(675.0 0.0 205.5),(375.0 0.0 0.0),272.385,41.665,30.705
Truck-41,Route-41,(425.0 0.0 155.5),(375.0 0.0 200.0),289.195,36.235,52.935
Truck-42,Route-42,(425.0 0.0 5.5),(125.0 0.0 100.0),289.5,30.07,59.415
Truck-43,Route-43,(425.0 0.0 105.5),(125.0 0.0 0.0),240.605,4.72,35.865
Truck-44,Route-44,(675.0 0.0 105.5),(125.0 0.0 50.0),249.58,4.725,44.835
Truck-45,Route-45,(425.0 0.0 55.5),(375.0 0.0 150.0),267.145,4.72,62.41
Truck-46,Route-46,(675.0 0.0 105.5),(625.0 0.0 0.0),237.49,4.715,32.755
Truck-47,Route-47,(175.0 0.0 105.5),(625.0 0.0 0.0),269.025,4.73,64.275
Truck-48,Route-48,(175.0 0.0 155.5),(625.0 0.0 50.0),299.265,4.72,94.525
Truck-49,Route-49,(425.0 0.0 205.5),(625.0 0.0 200.0),228.57,4.75,23.8
Truck-50,Route-50,(675.0 0.0 205.5),(125.0 0.0 0.0),269.16,39.54,29.605
Truck-51,Route-51,(675.0 0.0 55.5),(625.0 0.0 150.0),267.41,4.725,62.66
Truck-52,Route-52,(675.0 0.0 205.5),(625.0 0.0 200.0),244.825,20.455,24.345
Truck-53,Route-53,(425.0 0.0 205.5),(125.0 0.0 150.0),234.135,4.74,29.38
Truck-54,Route-54,(175.0 0.0 105.5),(375.0 0.0 100.0),284.02,4.72,79.285
Truck-55,Route-55,(425.0 0.0 155.5),(125.0 0.0 150.0),222.745,4.725,18.005
Truck-56,Route-56,(675.0 0.0 205.5),(125.0 0.0 150.0),264.825,36.175,28.625
Truck-57,Route-57,(675.0 0.0 205.5),(625.0 0.0 100.0),313.725,31.8,81.9
Truck-58,Route-58,(175.0 0.0 -5.5),(625.0 0.0 100.0),261.715,14.175,47.51
Truck-59,Route-59,(425.0 0.0 105.5),(625.0 0.0 200.0),255.355,4.725,50.605
