Truck_id, Route_id, Origin, Destination, Total Time, Arrival Time
Truck-11,Route-11,(125.0 0.0 155.5),(125.0 0.0 0.0),153.012,1.188,21.82
Truck-14,Route-14,(125.0 0.0 155.5),(625.0 0.0 100.0),181.773,0.257,50.008
Truck-1,Route-1,(375.0 0.0 105.5),(625.0 0.0 150.0),190.114,0,105.572
Truck-7,Route-7,(625.0 0.0 155.5),(125.0 0.0 150.0),196.392,7.873,9.916
Truck-5,Route-5,(625.0 0.0 205.5),(125.0 0.0 150.0),196.762,0,89.171
Truck-4,Route-4,(125.0 0.0 155.5),(375.0 0.0 50.0),197.996,15.341,25.597
Truck-2,Route-2,(625.0 0.0 5.5),(125.0 0.0 50.0),200.17,0,86.072
Truck-103,Route-103,(625.0 0.0 155.5),(375.0 0.0 100.0),145.895,0.004,15.889
Truck-115,Route-115,(375.0 0.0 55.5),(125.0 0.0 100.0),147.243,1.328,15.909
Truck-0,Route-0,(125.0 0.0 55.5),(125.0 0.0 0.0),208.438,19.461,27.909
Truck-17,Route-17,(625.0 0.0 155.5),(625.0 0.0 200.0),210.83,10.193,25.045
Truck-102,Route-102,(625.0 0.0 205.5),(375.0 0.0 150.0),150.846,0.004,15.825
Truck-112,Route-112,(625.0 0.0 155.5),(375.0 0.0 200.0),153.165,0.252,21.909
Truck-123,Route-123,(375.0 0.0 -5.5),(625.0 0.0 100.0),155.435,0.003,25.429
Truck-16,Route-16,(375.0 0.0 205.5),(125.0 0.0 0.0),218.211,0.328,27.768
Truck-10,Route-10,(625.0 0.0 205.5),(375.0 0.0 0.0),219.477,0.328,25.02
Truck-114,Route-114,(125.0 0.0 105.5),(125.0 0.0 100.0),165.463,18.293,17.165
Truck-119,Route-119,(625.0 0.0 55.5),(375.0 0.0 150.0),173.285,7.603,35.677
Truck-126,Route-126,(375.0 0.0 5.5),(375.0 0.0 200.0),179.633,1.121,20.45
Truck-108,Route-108,(125.0 0.0 155.5),(625.0 0.0 0.0),180.329,0.003,42.803
Truck-116,Route-116,(125.0 0.0 105.5),(625.0 0.0 150.0),195.698,1.121,60.57
Truck-111,Route-111,(375.0 0.0 155.5),(625.0 0.0 200.0),200.192,1.122,21.987
Truck-124,Route-124,(375.0 0.0 105.5),(125.0 0.0 150.0),201.989,1.122,14.756
Truck-13,Route-13,(625.0 0.0 5.5),(125.0 0.0 50.0),262.9,0.328,23.331
Truck-105,Route-105,(375.0 0.0 55.5),(375.0 0.0 50.0),202.929,7.603,37.767
Truck-18,Route-18,(125.0 0.0 155.5),(125.0 0.0 100.0),272.11,0.258,31.128
Truck-122,Route-122,(125.0 0.0 105.5),(125.0 0.0 0.0),212.388,0.258,32.53
Truck-106,Route-106,(625.0 0.0 -5.5),(125.0 0.0 200.0),213.653,23.455,13.598
Truck-127,Route-127,(125.0 0.0 -5.5),(625.0 0.0 100.0),218.168,15.715,22.854
Truck-125,Route-125,(625.0 0.0 155.5),(125.0 0.0 0.0),229.569,0.258,34.671
Truck-104,Route-104,(625.0 0.0 -5.5),(125.0 0.0 100.0),230.549,20.614,25.827
Truck-101,Route-101,(125.0 0.0 -5.5),(375.0 0.0 150.0),240.954,15.544,38.293
Truck-110,Route-110,(625.0 0.0 -5.5),(375.0 0.0 50.0),261.565,17.312,7.544
Truck-107,Route-107,(375.0 0.0 55.5),(125.0 0.0 150.0),267.184,9.945,41.574
Truck-6,Route-6,(375.0 0.0 105.5),(125.0 0.0 50.0),328.23,0.328,16.05
Truck-117,Route-117,(625.0 0.0 5.5),(125.0 0.0 50.0),270.654,0.004,20.925
Truck-3,Route-3,(125.0 0.0 55.5),(625.0 0.0 200.0),348.922,23.982,15.126,0.001,26.259
Truck-100,Route-100,(375.0 0.0 105.5),(375.0 0.0 0.0),292.624,18.226,22.147
Truck-109,Route-109,(375.0 0.0 155.5),(375.0 0.0 0.0),301.323,7.603,34.961
Truck-121,Route-121,(125.0 0.0 194.5),(625.0 0.0 100.0),326.555,7.602,19.466,0.004,38.971
Truck-9,Route-9,(375.0 0.0 205.5),(125.0 0.0 150.0),391.902,0,80.95
Truck-15,Route-15,(125.0 0.0 194.5),(125.0 0.0 150.0),392.423,7.872,20.646
Truck-8,Route-8,(625.0 0.0 105.5),(125.0 0.0 100.0),406.941,18.294,46.248,0.004,21.779
Truck-120,Route-120,(125.0 0.0 155.5),(625.0 0.0 0.0),364.653,0.251,33.002
Truck-128,Route-128,(625.0 0.0 155.5),(625.0 0.0 50.0),369.232,0.256,43.544
Truck-113,Route-113,(375.0 0.0 5.5),(125.0 0.0 0.0),420.043,20.323,21.739
Truck-118,Route-118,(625.0 0.0 155.5),(625.0 0.0 100.0),428.06,0.258,37.757
