Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT
Truck-23,Route-23,(175.0 0.0 -5.5),(125.0 0.0 200.0),277.688,38.962,31.114
Truck-17,Route-17,(425.0 0.0 155.5),(375.0 0.0 200.0),296.702,8.562,27.728
Truck-23,Route-23,(175.0 0.0 -5.5),(125.0 0.0 200.0),280.106,42.211,31.157
Truck-17,Route-17,(425.0 0.0 155.5),(375.0 0.0 200.0),298.252,8.702,29.524
Truck-0,Route-0,(675.0 0.0 205.5),(625.0 0.0 100.0),307.367,5.569,41.788
Truck-14,Route-14,(425.0 0.0 205.5),(125.0 0.0 0.0),312.322,5.566,46.747
Truck-37,Route-37,(425.0 0.0 205.5),(375.0 0.0 50.0),314.769,8.702,46.055
Truck-4,Route-4,(425.0 0.0 5.5),(375.0 0.0 200.0),325.557,5.567,59.977
Truck-11,Route-11,(425.0 0.0 5.5),(375.0 0.0 200.0),330.864,8.605,61.252
Truck-12,Route-12,(175.0 0.0 5.5),(625.0 0.0 200.0),353.27,5.565,87.686
Truck-2,Route-2,(175.0 0.0 55.5),(625.0 0.0 200.0),357.827,5.566,92.244
Truck-33,Route-33,(175.0 0.0 205.5),(625.0 0.0 150.0),355.133,8.684,83.44
Truck-20,Route-20,(425.0 0.0 205.5),(125.0 0.0 0.0),366.235,8.604,47.45
Truck-30,Route-30,(675.0 0.0 155.5),(375.0 0.0 150.0),366.544,39.105,36.309
Truck-29,Route-29,(175.0 0.0 205.5),(625.0 0.0 100.0),368.641,8.603,83.004
Truck-7,Route-7,(675.0 0.0 55.5),(375.0 0.0 150.0),404.284,5.567,38.704
Truck-21,Route-21,(675.0 0.0 55.5),(375.0 0.0 0.0),412.556,8.604,43.939
Truck-5,Route-5,(425.0 0.0 155.5),(625.0 0.0 150.0),436.785,5.567,71.202
Truck-19,Route-19,(175.0 0.0 105.5),(375.0 0.0 100.0),466.645,5.565,101.066
Truck-26,Route-26,(175.0 0.0 105.5),(375.0 0.0 100.0),472.038,8.603,103.42
Truck-31,Route-31,(675.0 0.0 105.5),(625.0 0.0 50.0),474.762,8.603,106.144
Truck-16,Route-16,(675.0 0.0 5.5),(125.0 0.0 200.0),483.588,30.379,37.905
Truck-6,Route-6,(675.0 0.0 155.5),(625.0 0.0 100.0),487.404,32.9,34.508
Truck-36,Route-36,(175.0 0.0 5.5),(125.0 0.0 0.0),492.701,46.991,62.436
Truck-25,Route-25,(425.0 0.0 -5.5),(125.0 0.0 200.0),496.767,44.304,50.413
Truck-8,Route-8,(675.0 0.0 5.5),(625.0 0.0 200.0),523.362,50.982,74.436
Truck-34,Route-34,(675.0 0.0 5.5),(125.0 0.0 100.0),539.739,8.674,54.527
Truck-38,Route-38,(675.0 0.0 155.5),(125.0 0.0 50.0),543.119,40.014,43.275
Truck-22,Route-22,(675.0 0.0 5.5),(125.0 0.0 150.0),543.234,50.924,53.911
Truck-1,Route-1,(175.0 0.0 155.5),(125.0 0.0 0.0),546.29,5.564,49.937
Truck-15,Route-15,(425.0 0.0 55.5),(625.0 0.0 50.0),546.541,5.566,111.746
Truck-18,Route-18,(175.0 0.0 205.5),(125.0 0.0 150.0),549.298,5.565,43.505
Truck-9,Route-9,(175.0 0.0 155.5),(125.0 0.0 50.0),549.779,8.604,77.77
Truck-24,Route-24,(425.0 0.0 105.5),(375.0 0.0 50.0),635.661,21.48,89.98
Truck-10,Route-10,(425.0 0.0 155.5),(375.0 0.0 50.0),641.108,29.506,95.422
Truck-3,Route-3,(175.0 0.0 55.5),(625.0 0.0 50.0),655.318,8.604,114.096
Truck-39,Route-39,(175.0 0.0 5.5),(125.0 0.0 0.0),670.551,50.152,61.586
Truck-13,Route-13,(175.0 0.0 55.5),(125.0 0.0 100.0),726.7,8.684,63.331
Truck-28,Route-28,(675.0 0.0 105.5),(375.0 0.0 0.0),781.659,37.339,52.085
Truck-32,Route-32,(175.0 0.0 155.5),(375.0 0.0 50.0),813.236,8.684,97.68
Truck-27,Route-27,(175.0 0.0 55.5),(125.0 0.0 100.0),901.258,8.674,65.377
Truck-35,Route-35,(175.0 0.0 105.5),(375.0 0.0 150.0),981.239,8.683,77.587
