Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT
Truck-0,Route-0,(425.0 0.0 155.5),(375.0 0.0 200.0),377.426,36.567,40.844
Truck-1,Route-1,(425.0 0.0 155.5),(125.0 0.0 150.0),393.764,48.381,45.374
Truck-2,Route-2,(425.0 0.0 194.5),(625.0 0.0 0.0),352.029,15.369,36.64
Truck-3,Route-3,(175.0 0.0 205.5),(375.0 0.0 0.0),350.466,5.911,44.534
Truck-4,Route-4,(675.0 0.0 105.5),(125.0 0.0 200.0),351.301,21.623,29.666
Truck-5,Route-5,(675.0 0.0 55.5),(125.0 0.0 200.0),355.908,21.623,34.271
Truck-6,Route-6,(425.0 0.0 155.5),(375.0 0.0 0.0),369.759,33.207,36.54
Truck-7,Route-7,(675.0 0.0 105.5),(125.0 0.0 200.0),397.969,35.364,62.591
Truck-8,Route-8,(675.0 0.0 155.5),(375.0 0.0 200.0),369.505,35.697,33.798
Truck-9,Route-9,(425.0 0.0 155.5),(375.0 0.0 100.0),364.136,34.299,29.822
Truck-0,Route-0,(425.0 0.0 155.5),(375.0 0.0 200.0),378.27,36.94,41.3
Truck-1,Route-1,(425.0 0.0 155.5),(125.0 0.0 150.0),394.79,48.93,45.81
Truck-2,Route-2,(425.0 0.0 194.5),(625.0 0.0 0.0),352.79,15.98,36.79
Truck-3,Route-3,(175.0 0.0 205.5),(375.0 0.0 0.0),355.18,6.54,48.61
Truck-4,Route-4,(675.0 0.0 105.5),(125.0 0.0 200.0),352.41,22.26,30.12
Truck-5,Route-5,(675.0 0.0 55.5),(125.0 0.0 200.0),358.66,22.26,36.37
Truck-6,Route-6,(425.0 0.0 155.5),(375.0 0.0 0.0),372.95,32.91,39.99
Truck-7,Route-7,(675.0 0.0 105.5),(125.0 0.0 200.0),392.98,35.7,57.25
Truck-8,Route-8,(675.0 0.0 155.5),(375.0 0.0 200.0),370.17,36.2,33.91
Truck-9,Route-9,(425.0 0.0 155.5),(375.0 0.0 100.0),363.95,34,29.91
