Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT
Truck-6,Route-6,(175.0 0.0 205.5),(625.0 0.0 200.0),247.3,6.41,40.43
Truck-12,Route-12,(675.0 0.0 105.5),(625.0 0.0 200.0),251.72,6.41,44.93
Truck-9,Route-9,(425.0 0.0 155.5),(125.0 0.0 0.0),265.12,6.41,58.26
Truck-22,Route-22,(175.0 0.0 155.5),(375.0 0.0 100.0),297.89,6.4,90.98
Truck-18,Route-18,(175.0 0.0 55.5),(125.0 0.0 100.0),307.79,9.16,93.12
Truck-2,Route-2,(675.0 0.0 155.5),(125.0 0.0 50.0),317.87,6.42,60.11
Truck-25,Route-25,(425.0 0.0 105.5),(625.0 0.0 100.0),313.9,35.24,59.8
Truck-11,Route-11,(175.0 0.0 105.5),(125.0 0.0 150.0),321.03,6.41,78.1
Truck-27,Route-27,(175.0 0.0 -5.5),(375.0 0.0 50.0),317.32,21.74,84.58
Truck-7,Route-7,(175.0 0.0 -5.5),(375.0 0.0 100.0),323.36,20.76,81.28
Truck-5,Route-5,(675.0 0.0 155.5),(125.0 0.0 0.0),323.87,9.17,114.48
Truck-0,Route-0,(425.0 0.0 55.5),(625.0 0.0 100.0),332.61,6.43,115.4
Truck-4,Route-4,(425.0 0.0 205.5),(625.0 0.0 50.0),349.08,6.41,64.07
Truck-136,Route-136,(175.0 0.0 205.5),(375.0 0.0 200.0),242.29,8.69,31.31
Truck-125,Route-125,(675.0 0.0 105.5),(375.0 0.0 200.0),243.74,8.67,34.69
Truck-134,Route-134,(425.0 0.0 155.5),(125.0 0.0 200.0),256,8.69,32.78
Truck-112,Route-112,(175.0 0.0 105.5),(375.0 0.0 0.0),271.43,5.93,64.86
Truck-9,Route-9,(425.0 0.0 155.5),(125.0 0.0 0.0),266.38,5.92,59.35
Truck-6,Route-6,(175.0 0.0 205.5),(625.0 0.0 200.0),248.17,6.63,40.82
Truck-12,Route-12,(675.0 0.0 105.5),(625.0 0.0 200.0),252.99,6.63,45.8
Truck-9,Route-9,(425.0 0.0 155.5),(125.0 0.0 0.0),264.27,6.63,57
Truck-6,Route-6,(175.0 0.0 205.5),(625.0 0.0 200.0),248.02,6.52,40.47
Truck-6,Route-6,(175.0 0.0 205.5),(625.0 0.0 200.0),246.72,6,40.66
Truck-9,Route-9,(425.0 0.0 155.5),(125.0 0.0 0.0),262.48,6.01,56.4
Truck-6,Route-6,(175.0 0.0 205.5),(625.0 0.0 200.0),247.57,6.94,40.05
Truck-12,Route-12,(675.0 0.0 105.5),(625.0 0.0 200.0),252.12,6.94,44.7
Truck-9,Route-9,(425.0 0.0 155.5),(125.0 0.0 0.0),264.51,6.95,56.9
Truck-22,Route-22,(175.0 0.0 155.5),(375.0 0.0 100.0),302.42,6.93,95.12
Truck-18,Route-18,(175.0 0.0 55.5),(125.0 0.0 100.0),308.78,9.62,74.82
Truck-0,Route-0,(425.0 0.0 55.5),(625.0 0.0 100.0),317.82,6.96,103.25
Truck-19,Route-19,(425.0 0.0 105.5),(125.0 0.0 50.0),317.8,36.91,51.35
Truck-8,Route-8,(675.0 0.0 55.5),(125.0 0.0 150.0),317.87,6.95,65.44
Truck-4,Route-4,(425.0 0.0 205.5),(625.0 0.0 50.0),317.91,6.95,64.39
Truck-11,Route-11,(175.0 0.0 105.5),(125.0 0.0 150.0),320.63,6.94,73.68
Truck-7,Route-7,(175.0 0.0 -5.5),(375.0 0.0 100.0),324.11,21.18,85.8
Truck-5,Route-5,(675.0 0.0 155.5),(125.0 0.0 0.0),328.61,9.64,118.69
Truck-25,Route-25,(425.0 0.0 105.5),(625.0 0.0 100.0),328.86,36.7,59.5
Truck-136,Route-136,(175.0 0.0 205.5),(375.0 0.0 200.0),241.99,8.8,31.09
Truck-125,Route-125,(675.0 0.0 105.5),(375.0 0.0 200.0),248.26,9.16,38.85
Truck-112,Route-112,(175.0 0.0 105.5),(375.0 0.0 0.0),276.02,5.84,69.73
Truck-122,Route-122,(425.0 0.0 105.5),(125.0 0.0 200.0),290.93,66.51,23.96
Truck-123,Route-123,(175.0 0.0 205.5),(375.0 0.0 100.0),291.03,5.82,71.55
Truck-106,Route-106,(675.0 0.0 105.5),(625.0 0.0 0.0),294.47,49.68,44.26
Truck-119,Route-119,(425.0 0.0 105.5),(125.0 0.0 0.0),296.07,39.66,55.99
Truck-13,Route-13,(675.0 0.0 5.5),(625.0 0.0 150.0),408.47,41.15,79.64
Truck-23,Route-23,(175.0 0.0 155.5),(625.0 0.0 150.0),411.26,9.62,109.7
Truck-20,Route-20,(425.0 0.0 55.5),(125.0 0.0 150.0),414.01,47.23,38.22
Truck-104,Route-104,(175.0 0.0 55.5),(375.0 0.0 50.0),306.26,5.84,79.66
Truck-116,Route-116,(675.0 0.0 55.5),(125.0 0.0 50.0),306.26,5.84,33.49
Truck-16,Route-16,(675.0 0.0 205.5),(625.0 0.0 50.0),418.35,36.45,126.03
Truck-15,Route-15,(675.0 0.0 155.5),(625.0 0.0 100.0),414.64,8.45,93.27
Truck-2,Route-2,(675.0 0.0 155.5),(125.0 0.0 50.0),421.15,6.95,56.36
Truck-131,Route-131,(425.0 0.0 155.5),(375.0 0.0 50.0),309.33,5.83,71.79
Truck-29,Route-29,(175.0 0.0 105.5),(375.0 0.0 100.0),424.17,9.63,142.77
Truck-14,Route-14,(425.0 0.0 -5.5),(625.0 0.0 100.0),432.99,48.48,106.5
Truck-132,Route-132,(425.0 0.0 105.5),(625.0 0.0 200.0),333.25,9.01,55.85
Truck-118,Route-118,(175.0 0.0 155.5),(625.0 0.0 0.0),336.93,8.82,127.8
Truck-17,Route-17,(175.0 0.0 55.5),(625.0 0.0 50.0),450.76,6.92,150.06
Truck-107,Route-107,(175.0 0.0 155.5),(625.0 0.0 200.0),340.58,5.84,71.2
Truck-124,Route-124,(425.0 0.0 55.5),(125.0 0.0 0.0),337.9,8.68,34.65
Truck-120,Route-120,(425.0 0.0 55.5),(125.0 0.0 200.0),341.33,9.02,38.03
Truck-134,Route-134,(425.0 0.0 155.5),(125.0 0.0 200.0),355.77,8.81,30.7
Truck-110,Route-110,(425.0 0.0 55.5),(625.0 0.0 150.0),396.68,8.83,100.17
Truck-26,Route-26,(675.0 0.0 5.5),(375.0 0.0 150.0),508.49,9.63,71.87
Truck-24,Route-24,(675.0 0.0 205.5),(125.0 0.0 0.0),508.76,45.04,51.59
Truck-138,Route-138,(175.0 0.0 55.5),(375.0 0.0 100.0),392.04,8.67,91.76
