Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT
Truck-12,Route-12,(675.0 0.0 105.5),(625.0 0.0 200.0),251.38,6.28,45.07
Truck-6,Route-6,(175.0 0.0 205.5),(625.0 0.0 200.0),255.49,6.28,49.16
Truck-7,Route-7,(175.0 0.0 -5.5),(375.0 0.0 100.0),260.92,20.74,40.08
Truck-27,Route-27,(175.0 0.0 -5.5),(375.0 0.0 50.0),259.83,21.94,37.83
Truck-9,Route-9,(425.0 0.0 155.5),(125.0 0.0 0.0),269.74,6.28,63.43
Truck-25,Route-25,(425.0 0.0 105.5),(625.0 0.0 100.0),295.92,35.7,59.08
Truck-22,Route-22,(175.0 0.0 155.5),(375.0 0.0 100.0),301.31,6.27,94.99
Truck-11,Route-11,(175.0 0.0 105.5),(125.0 0.0 150.0),316.8,6.28,82.08
Truck-5,Route-5,(675.0 0.0 155.5),(125.0 0.0 0.0),316.85,8.89,75.5
Truck-0,Route-0,(425.0 0.0 55.5),(625.0 0.0 100.0),319.88,6.3,107.45
Truck-19,Route-19,(425.0 0.0 105.5),(125.0 0.0 50.0),320.07,35.8,46.7
Truck-8,Route-8,(675.0 0.0 55.5),(125.0 0.0 150.0),320.09,6.29,63.03
Truck-23,Route-23,(175.0 0.0 155.5),(625.0 0.0 150.0),322.45,8.88,113.52
Truck-26,Route-26,(675.0 0.0 5.5),(375.0 0.0 150.0),334.7,8.89,42.75
Truck-4,Route-4,(425.0 0.0 205.5),(625.0 0.0 50.0),348.89,6.29,63.64
Truck-29,Route-29,(175.0 0.0 105.5),(375.0 0.0 100.0),361.55,8.89,111.94
Truck-101,Route-101,(175.0 0.0 155.5),(125.0 0.0 0.0),259.1,5.24,48.8
Truck-100,Route-100,(675.0 0.0 205.5),(625.0 0.0 100.0),288.44,5.24,44.66
Truck-13,Route-13,(675.0 0.0 5.5),(625.0 0.0 150.0),407.03,39.23,79.9
Truck-107,Route-107,(675.0 0.0 55.5),(375.0 0.0 150.0),295.68,5.23,40.76
Truck-134,Route-134,(675.0 0.0 5.5),(125.0 0.0 100.0),290.8,7.8,52.48
Truck-111,Route-111,(425.0 0.0 5.5),(375.0 0.0 200.0),296.2,7.9,51.68
Truck-112,Route-112,(175.0 0.0 5.5),(625.0 0.0 200.0),305.28,5.22,78.81
Truck-18,Route-18,(175.0 0.0 55.5),(125.0 0.0 100.0),416.79,8.88,76.02
Truck-10,Route-10,(425.0 0.0 55.5),(125.0 0.0 150.0),417.03,33.79,67.75
Truck-1,Route-1,(175.0 0.0 -5.5),(125.0 0.0 50.0),417.04,65.49,66.42
Truck-131,Route-131,(675.0 0.0 105.5),(625.0 0.0 50.0),305.7,7.87,72.33
Truck-24,Route-24,(675.0 0.0 205.5),(125.0 0.0 0.0),417.5,43.35,42.56
Truck-119,Route-119,(175.0 0.0 105.5),(375.0 0.0 100.0),306.83,5.21,101.59
Truck-129,Route-129,(175.0 0.0 205.5),(625.0 0.0 100.0),308.68,7.88,81.46
Truck-109,Route-109,(175.0 0.0 155.5),(125.0 0.0 50.0),308.82,7.9,83.61
Truck-118,Route-118,(175.0 0.0 205.5),(125.0 0.0 150.0),308.99,5.22,37.75
Truck-121,Route-121,(675.0 0.0 55.5),(375.0 0.0 0.0),311.02,7.89,32.03
Truck-133,Route-133,(175.0 0.0 205.5),(625.0 0.0 150.0),309.41,7.75,79.3
Truck-3,Route-3,(425.0 0.0 -5.5),(375.0 0.0 150.0),435.08,49.5,18.43
Truck-104,Route-104,(425.0 0.0 5.5),(375.0 0.0 200.0),325.44,5.24,57.3
Truck-16,Route-16,(675.0 0.0 205.5),(625.0 0.0 50.0),449.42,34.38,89.3
Truck-102,Route-102,(175.0 0.0 55.5),(625.0 0.0 200.0),340.77,5.23,82.91
Truck-28,Route-28,(175.0 0.0 -5.5),(375.0 0.0 50.0),451.2,24.34,31.32
Truck-123,Route-123,(175.0 0.0 -5.5),(125.0 0.0 200.0),355.72,65.96,28.97
Truck-120,Route-120,(425.0 0.0 205.5),(125.0 0.0 0.0),359.88,7.88,59.71
Truck-116,Route-116,(675.0 0.0 5.5),(125.0 0.0 200.0),362.8,28.24,52.44
Truck-108,Route-108,(675.0 0.0 5.5),(625.0 0.0 200.0),367.65,61.87,72.3
Truck-125,Route-125,(425.0 0.0 -5.5),(125.0 0.0 200.0),367.67,41.47,62.36
Truck-137,Route-137,(425.0 0.0 205.5),(375.0 0.0 50.0),378.68,7.76,52.26
Truck-106,Route-106,(675.0 0.0 155.5),(625.0 0.0 100.0),388.86,48.46,37.92
Truck-130,Route-130,(675.0 0.0 155.5),(375.0 0.0 150.0),395.76,57.34,41.21
Truck-127,Route-127,(175.0 0.0 55.5),(125.0 0.0 100.0),390.9,7.8,70.51
Truck-105,Route-105,(425.0 0.0 155.5),(625.0 0.0 150.0),396.49,5.23,73.6
Truck-122,Route-122,(675.0 0.0 5.5),(125.0 0.0 150.0),403.24,69.04,55.17
Truck-126,Route-126,(175.0 0.0 105.5),(375.0 0.0 100.0),406.05,7.88,100.74
Truck-115,Route-115,(425.0 0.0 55.5),(625.0 0.0 50.0),406.06,5.22,85.3
Truck-114,Route-114,(425.0 0.0 205.5),(125.0 0.0 0.0),406.51,5.22,54.46
Truck-20,Route-20,(425.0 0.0 55.5),(125.0 0.0 150.0),516.83,46.01,37.96
Truck-2,Route-2,(675.0 0.0 155.5),(125.0 0.0 50.0),520.77,6.29,56.15
Truck-14,Route-14,(425.0 0.0 -5.5),(625.0 0.0 100.0),520.85,48.1,78.12
Truck-21,Route-21,(425.0 0.0 105.5),(625.0 0.0 50.0),549.89,8.88,92.74
Truck-136,Route-136,(175.0 0.0 5.5),(125.0 0.0 0.0),460.44,49.47,55.98
Truck-15,Route-15,(675.0 0.0 155.5),(625.0 0.0 100.0),596.82,7.71,78.96
Truck-103,Route-103,(175.0 0.0 55.5),(625.0 0.0 50.0),506.35,7.89,105.23
Truck-139,Route-139,(175.0 0.0 5.5),(125.0 0.0 0.0),504.38,51.84,61.51
Truck-138,Route-138,(675.0 0.0 155.5),(125.0 0.0 50.0),504.73,60,43.57
Truck-17,Route-17,(175.0 0.0 55.5),(625.0 0.0 50.0),649.94,6.26,102.63
Truck-117,Route-117,(425.0 0.0 155.5),(375.0 0.0 200.0),552.16,7.76,30.2
Truck-128,Route-128,(675.0 0.0 105.5),(375.0 0.0 0.0),567.48,47.37,61.96
Truck-113,Route-113,(175.0 0.0 55.5),(125.0 0.0 100.0),593.89,7.76,66.98
Truck-124,Route-124,(425.0 0.0 105.5),(375.0 0.0 50.0),681.45,28.45,85.18
Truck-132,Route-132,(175.0 0.0 155.5),(375.0 0.0 50.0),692.31,7.76,88.56
Truck-135,Route-135,(175.0 0.0 105.5),(375.0 0.0 150.0),693.39,7.75,89.65
Truck-110,Route-110,(425.0 0.0 155.5),(375.0 0.0 50.0),782.47,25.63,90.44
Truck-12,Route-12,(675.0 0.0 105.5),(625.0 0.0 200.0),250.88,5.97,44.87
Truck-6,Route-6,(175.0 0.0 205.5),(625.0 0.0 200.0),255.02,5.97,49.03
Truck-7,Route-7,(175.0 0.0 -5.5),(375.0 0.0 100.0),260.76,20.41,40.3
Truck-27,Route-27,(175.0 0.0 -5.5),(375.0 0.0 50.0),259.95,21.99,37.88
Truck-9,Route-9,(425.0 0.0 155.5),(125.0 0.0 0.0),270.53,5.97,64.52
Truck-25,Route-25,(425.0 0.0 105.5),(625.0 0.0 100.0),295.15,35.86,58.25
Truck-22,Route-22,(175.0 0.0 155.5),(375.0 0.0 100.0),300.13,5.96,94.1
Truck-26,Route-26,(675.0 0.0 5.5),(375.0 0.0 150.0),306.19,8.68,42.7
Truck-4,Route-4,(425.0 0.0 205.5),(625.0 0.0 50.0),316.37,5.97,63.7
Truck-8,Route-8,(675.0 0.0 55.5),(125.0 0.0 150.0),316.41,5.97,65.8
Truck-5,Route-5,(675.0 0.0 155.5),(125.0 0.0 0.0),316.67,8.69,76.46
Truck-0,Route-0,(425.0 0.0 55.5),(625.0 0.0 100.0),319,5.98,106.9
Truck-2,Route-2,(675.0 0.0 155.5),(125.0 0.0 50.0),319,5.98,56.16
Truck-23,Route-23,(175.0 0.0 155.5),(625.0 0.0 150.0),321.18,8.67,112.46
Truck-16,Route-16,(675.0 0.0 205.5),(625.0 0.0 50.0),349.54,36.55,87.45
Truck-29,Route-29,(175.0 0.0 105.5),(375.0 0.0 100.0),360.87,8.68,112.52
Truck-28,Route-28,(175.0 0.0 -5.5),(375.0 0.0 50.0),359.27,24.19,38.95
Truck-101,Route-101,(175.0 0.0 155.5),(125.0 0.0 0.0),260.02,5.21,46.52
Truck-137,Route-137,(425.0 0.0 205.5),(375.0 0.0 50.0),265.75,7.9,43.57
Truck-15,Route-15,(675.0 0.0 155.5),(625.0 0.0 100.0),395.46,7.97,78.27
Truck-13,Route-13,(675.0 0.0 5.5),(625.0 0.0 150.0),407.22,39.42,91.04
Truck-111,Route-111,(425.0 0.0 5.5),(375.0 0.0 200.0),296.51,7.88,54.15
Truck-18,Route-18,(175.0 0.0 55.5),(125.0 0.0 100.0),416.33,8.68,76.8
Truck-119,Route-119,(175.0 0.0 105.5),(375.0 0.0 100.0),305.47,5.19,100.21
Truck-10,Route-10,(425.0 0.0 55.5),(125.0 0.0 150.0),416.6,33.82,71.37
Truck-115,Route-115,(425.0 0.0 55.5),(625.0 0.0 50.0),305.74,5.19,84.23
Truck-114,Route-114,(425.0 0.0 205.5),(125.0 0.0 0.0),305.98,5.2,54.07
Truck-102,Route-102,(175.0 0.0 55.5),(625.0 0.0 200.0),306.2,5.2,77.59
Truck-19,Route-19,(425.0 0.0 105.5),(125.0 0.0 50.0),417.26,35.59,53.85
Truck-129,Route-129,(175.0 0.0 205.5),(625.0 0.0 100.0),308.09,7.86,94.1
Truck-1,Route-1,(175.0 0.0 -5.5),(125.0 0.0 50.0),419.36,66.36,64.96
Truck-133,Route-133,(175.0 0.0 205.5),(625.0 0.0 150.0),308.22,7.9,85.06
Truck-121,Route-121,(675.0 0.0 55.5),(375.0 0.0 0.0),311.41,7.88,27.36
Truck-123,Route-123,(175.0 0.0 -5.5),(125.0 0.0 200.0),320.07,66.17,24.43
Truck-3,Route-3,(425.0 0.0 -5.5),(375.0 0.0 150.0),437.52,50.83,18.4
Truck-112,Route-112,(175.0 0.0 5.5),(625.0 0.0 200.0),340.75,5.19,72.74
Truck-136,Route-136,(175.0 0.0 5.5),(125.0 0.0 0.0),360.56,51.42,47.18
Truck-104,Route-104,(425.0 0.0 5.5),(375.0 0.0 200.0),363.43,5.21,47.55
Truck-128,Route-128,(675.0 0.0 105.5),(375.0 0.0 0.0),365.44,45.7,69.93
Truck-106,Route-106,(675.0 0.0 155.5),(625.0 0.0 100.0),387.96,47.8,37.66
Truck-130,Route-130,(675.0 0.0 155.5),(375.0 0.0 150.0),396.08,56.74,38.78
Truck-126,Route-126,(175.0 0.0 105.5),(375.0 0.0 100.0),402.17,7.86,96.89
Truck-132,Route-132,(175.0 0.0 155.5),(375.0 0.0 50.0),401.19,7.9,95.74
Truck-20,Route-20,(425.0 0.0 55.5),(125.0 0.0 150.0),513.56,46.47,38.06
Truck-17,Route-17,(175.0 0.0 55.5),(625.0 0.0 50.0),517.24,5.94,103.38
Truck-24,Route-24,(675.0 0.0 205.5),(125.0 0.0 0.0),517.36,43.55,39.8
Truck-109,Route-109,(175.0 0.0 155.5),(125.0 0.0 50.0),406.56,7.88,79.11
Truck-100,Route-100,(675.0 0.0 205.5),(625.0 0.0 100.0),408.57,5.21,44.08
Truck-118,Route-118,(175.0 0.0 205.5),(125.0 0.0 150.0),408.97,5.19,37.4
Truck-116,Route-116,(675.0 0.0 5.5),(125.0 0.0 200.0),411.6,28.39,100.99
Truck-117,Route-117,(425.0 0.0 155.5),(375.0 0.0 200.0),422.39,7.9,29.42
Truck-107,Route-107,(675.0 0.0 55.5),(375.0 0.0 150.0),427.04,5.2,41.09
Truck-131,Route-131,(675.0 0.0 105.5),(625.0 0.0 50.0),438.77,7.86,72.74
Truck-105,Route-105,(425.0 0.0 155.5),(625.0 0.0 150.0),450.3,5.2,124.21
Truck-108,Route-108,(675.0 0.0 5.5),(625.0 0.0 200.0),459.69,62.56,63.94
Truck-139,Route-139,(175.0 0.0 5.5),(125.0 0.0 0.0),458.53,53.11,47.42
Truck-14,Route-14,(425.0 0.0 -5.5),(625.0 0.0 100.0),599.65,48.44,76.48
Truck-125,Route-125,(425.0 0.0 -5.5),(125.0 0.0 200.0),492,41.79,53.2
Truck-110,Route-110,(425.0 0.0 155.5),(375.0 0.0 50.0),495.46,25.66,87
Truck-134,Route-134,(675.0 0.0 5.5),(125.0 0.0 100.0),490.97,7.94,51.99
Truck-11,Route-11,(175.0 0.0 105.5),(125.0 0.0 150.0),617.38,5.97,82.21
Truck-127,Route-127,(175.0 0.0 55.5),(125.0 0.0 100.0),501.22,7.94,65.1
Truck-21,Route-21,(425.0 0.0 105.5),(625.0 0.0 50.0),617.86,8.68,93.9
Truck-120,Route-120,(425.0 0.0 205.5),(125.0 0.0 0.0),506.81,7.87,96.17
Truck-138,Route-138,(675.0 0.0 155.5),(125.0 0.0 50.0),504.85,59.16,98.76
Truck-122,Route-122,(675.0 0.0 5.5),(125.0 0.0 150.0),506.95,68.2,104.15
Truck-103,Route-103,(175.0 0.0 55.5),(625.0 0.0 50.0),539.9,7.88,105.4
Truck-135,Route-135,(175.0 0.0 105.5),(375.0 0.0 150.0),574.84,7.96,81.65
Truck-113,Route-113,(175.0 0.0 55.5),(125.0 0.0 100.0),593.7,7.9,68.6
Truck-124,Route-124,(425.0 0.0 105.5),(375.0 0.0 50.0),597.33,28.63,91.65
