Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-8,Route-8,(425.0 0.0 205.5),(375.0 0.0 150.0),343.816,7.548,31.284
Truck-1,Route-1,(675.0 0.0 205.5),(625.0 0.0 0.0),353.812,7.552,41.288
Truck-6,Route-6,(425.0 0.0 105.5),(125.0 0.0 200.0),354.424,10.516,38.932
Truck-18,Route-18,(675.0 0.0 205.5),(375.0 0.0 100.0),360.076,10.708,41.38
Truck-29,Route-29,(675.0 0.0 5.5),(625.0 0.0 200.0),364.164,11.912,47.268
Truck-5,Route-5,(675.0 0.0 155.5),(125.0 0.0 200.0),368.172,7.548,55.644
Truck-20,Route-20,(675.0 0.0 155.5),(625.0 0.0 150.0),372.128,40.188,26.952
Truck-9,Route-9,(675.0 0.0 5.5),(375.0 0.0 200.0),378.336,7.548,65.8
Truck-12,Route-12,(175.0 0.0 55.5),(375.0 0.0 200.0),379.308,7.544,66.784
Truck-19,Route-19,(175.0 0.0 205.5),(125.0 0.0 100.0),382.992,10.516,62.492
Truck-14,Route-14,(675.0 0.0 205.5),(375.0 0.0 0.0),384.136,10.524,55.632
Truck-25,Route-25,(425.0 0.0 205.5),(375.0 0.0 100.0),378.12,10.728,55.404
Truck-24,Route-24,(425.0 0.0 205.5),(625.0 0.0 50.0),384.288,10.496,66.804
Truck-15,Route-15,(175.0 0.0 105.5),(125.0 0.0 200.0),394.516,62.52,27.008
Truck-22,Route-22,(675.0 0.0 155.5),(125.0 0.0 200.0),388.488,11.88,69.632
Truck-2,Route-2,(425.0 0.0 105.5),(625.0 0.0 200.0),399.756,7.548,87.224
Truck-16,Route-16,(425.0 0.0 205.5),(125.0 0.0 50.0),403.472,10.52,62.96
Truck-10,Route-10,(675.0 0.0 105.5),(375.0 0.0 200.0),409.488,23.672,80.82
Truck-0,Route-0,(175.0 0.0 105.5),(125.0 0.0 200.0),415.22,36.208,74.024
Truck-11,Route-11,(675.0 0.0 5.5),(375.0 0.0 200.0),415.732,29.636,81.1
Truck-21,Route-21,(675.0 0.0 105.5),(375.0 0.0 200.0),419.308,28.68,85.644
Truck-13,Route-13,(175.0 0.0 205.5),(375.0 0.0 100.0),420.132,7.544,107.604
Truck-3,Route-3,(175.0 0.0 155.5),(625.0 0.0 200.0),420.216,7.548,107.684
Truck-26,Route-26,(675.0 0.0 105.5),(375.0 0.0 200.0),423.096,68.66,49.44
Truck-7,Route-7,(675.0 0.0 155.5),(375.0 0.0 100.0),428.048,39.1,81.964
Truck-4,Route-4,(425.0 0.0 105.5),(625.0 0.0 200.0),431.128,10.524,108.6
Truck-27,Route-27,(675.0 0.0 105.5),(625.0 0.0 200.0),429.196,72,52.204
Truck-17,Route-17,(675.0 0.0 205.5),(125.0 0.0 0.0),433.564,10.516,105.06
Truck-23,Route-23,(425.0 0.0 55.5),(625.0 0.0 200.0),443.264,35,103.276
Truck-28,Route-28,(175.0 0.0 105.5),(375.0 0.0 150.0),441.132,41.78,94.36
Truck-125,Route-125,(675.0 0.0 155.5),(375.0 0.0 200.0),340.2,7.012,28.204
Truck-124,Route-124,(425.0 0.0 155.5),(125.0 0.0 200.0),343.264,9.804,28.484
Truck-112,Route-112,(675.0 0.0 205.5),(625.0 0.0 0.0),353.424,7.016,41.428
Truck-136,Route-136,(675.0 0.0 155.5),(625.0 0.0 200.0),352.076,10.532,36.572
Truck-139,Route-139,(425.0 0.0 205.5),(125.0 0.0 100.0),369.088,10.004,47.088
Truck-110,Route-110,(425.0 0.0 105.5),(375.0 0.0 200.0),367.536,16.7,45.836
Truck-100,Route-100,(675.0 0.0 55.5),(375.0 0.0 200.0),371.812,7.024,59.804
Truck-103,Route-103,(425.0 0.0 205.5),(625.0 0.0 0.0),373.268,7.02,61.264
Truck-116,Route-116,(175.0 0.0 105.5),(375.0 0.0 200.0),377.52,7.012,65.532
Truck-117,Route-117,(675.0 0.0 205.5),(375.0 0.0 0.0),377.704,9.988,55.72
Truck-119,Route-119,(675.0 0.0 105.5),(625.0 0.0 200.0),377.224,10.06,62.184
Truck-129,Route-129,(175.0 0.0 205.5),(125.0 0.0 50.0),382.476,9.98,62.504
Truck-131,Route-131,(425.0 0.0 155.5),(625.0 0.0 200.0),381.784,10.26,66.552
Truck-127,Route-127,(175.0 0.0 205.5),(625.0 0.0 150.0),387.316,7.012,75.324
Truck-109,Route-109,(675.0 0.0 55.5),(625.0 0.0 200.0),388.572,10.008,73.584
Truck-114,Route-114,(175.0 0.0 5.5),(375.0 0.0 200.0),388.984,7.016,76.984
Truck-104,Route-104,(425.0 0.0 105.5),(625.0 0.0 200.0),392.888,7.02,80.884
Truck-120,Route-120,(175.0 0.0 55.5),(375.0 0.0 200.0),392.94,7.012,80.944
Truck-113,Route-113,(675.0 0.0 55.5),(375.0 0.0 200.0),396.056,10.56,80.504
Truck-134,Route-134,(675.0 0.0 155.5),(125.0 0.0 200.0),398.78,9.984,83.808
Truck-102,Route-102,(675.0 0.0 105.5),(625.0 0.0 0.0),400.868,33.884,60.008
Truck-123,Route-123,(675.0 0.0 205.5),(125.0 0.0 0.0),399.996,10.532,77.488
Truck-128,Route-128,(425.0 0.0 -5.5),(375.0 0.0 200.0),407.64,54.928,47.724
Truck-121,Route-121,(175.0 0.0 105.5),(125.0 0.0 150.0),411.8,43.076,62.74
Truck-122,Route-122,(675.0 0.0 105.5),(125.0 0.0 200.0),411.648,10.2,96.46
Truck-105,Route-105,(675.0 0.0 5.5),(375.0 0.0 200.0),421.208,9.808,106.432
Truck-135,Route-135,(425.0 0.0 105.5),(625.0 0.0 200.0),413.192,10.692,97.528
Truck-115,Route-115,(675.0 0.0 105.5),(625.0 0.0 0.0),427.288,51.024,71.284
Truck-138,Route-138,(175.0 0.0 205.5),(375.0 0.0 50.0),424.796,10.532,99.28
Truck-108,Route-108,(425.0 0.0 5.5),(375.0 0.0 200.0),428.484,47.66,75.844
Truck-107,Route-107,(425.0 0.0 155.5),(375.0 0.0 50.0),431.684,32.344,94.364
Truck-137,Route-137,(675.0 0.0 5.5),(125.0 0.0 200.0),420.84,43.672,72.188
Truck-130,Route-130,(425.0 0.0 5.5),(375.0 0.0 200.0),439.044,65.796,68.264
Truck-132,Route-132,(675.0 0.0 105.5),(125.0 0.0 200.0),436.288,10.604,120.704
Truck-111,Route-111,(675.0 0.0 5.5),(125.0 0.0 0.0),443.104,80.876,56.24
Truck-118,Route-118,(675.0 0.0 5.5),(625.0 0.0 150.0),446.224,88.86,52.38
Truck-133,Route-133,(675.0 0.0 5.5),(375.0 0.0 200.0),448.752,95.128,46.644
Truck-126,Route-126,(175.0 0.0 5.5),(625.0 0.0 100.0),460.4,47.204,108.204
Truck-101,Route-101,(675.0 0.0 5.5),(625.0 0.0 200.0),470.092,79.18,85.92
Truck-106,Route-106,(425.0 0.0 105.5),(375.0 0.0 50.0),478.264,94.06,79.22
