Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-13,Route-13,(675.0 0.0 155.5),(375.0 0.0 200.0),344.28,7.952,31.392
Truck-20,Route-20,(675.0 0.0 155.5),(625.0 0.0 200.0),348.52,10.88,32.632
Truck-18,Route-18,(425.0 0.0 155.5),(125.0 0.0 200.0),350.184,10.88,34.312
Truck-5,Route-5,(675.0 0.0 205.5),(625.0 0.0 100.0),350.504,7.96,37.544
Truck-1,Route-1,(175.0 0.0 55.5),(125.0 0.0 200.0),354.44,7.96,41.48
Truck-22,Route-22,(175.0 0.0 55.5),(125.0 0.0 200.0),357.368,10.888,41.496
Truck-6,Route-6,(425.0 0.0 55.5),(125.0 0.0 200.0),360.128,7.96,47.168
Truck-17,Route-17,(175.0 0.0 205.5),(125.0 0.0 50.0),361.36,7.952,48.424
Truck-0,Route-0,(675.0 0.0 105.5),(625.0 0.0 200.0),364.16,7.968,51.192
Truck-23,Route-23,(425.0 0.0 55.5),(125.0 0.0 200.0),365.304,10.888,47.424
Truck-9,Route-9,(425.0 0.0 205.5),(625.0 0.0 50.0),370.08,7.952,57.128
Truck-21,Route-21,(675.0 0.0 205.5),(375.0 0.0 100.0),373.992,10.888,51.096
Truck-15,Route-15,(675.0 0.0 55.5),(625.0 0.0 200.0),379.4,10.88,63.536
Truck-27,Route-27,(425.0 0.0 -5.5),(625.0 0.0 0.0),385.224,37.984,42.224
Truck-2,Route-2,(175.0 0.0 5.5),(125.0 0.0 200.0),385.336,7.96,72.376
Truck-8,Route-8,(425.0 0.0 5.5),(625.0 0.0 200.0),388.384,7.952,75.432
Truck-3,Route-3,(175.0 0.0 155.5),(375.0 0.0 0.0),388.416,31.576,51.832
Truck-11,Route-11,(175.0 0.0 194.5),(125.0 0.0 100.0),392.648,17.704,54.928
Truck-12,Route-12,(425.0 0.0 105.5),(125.0 0.0 150.0),396.776,36.832,50.96
Truck-34,Route-34,(425.0 0.0 105.5),(375.0 0.0 50.0),396.048,42.416,45.624
Truck-31,Route-31,(675.0 0.0 5.5),(375.0 0.0 200.0),396.112,10.04,81.072
Truck-19,Route-19,(425.0 0.0 205.5),(625.0 0.0 150.0),400.904,10.88,80.024
Truck-32,Route-32,(675.0 0.0 205.5),(125.0 0.0 100.0),397.712,10.544,75.184
Truck-7,Route-7,(675.0 0.0 55.5),(125.0 0.0 200.0),402.584,7.96,89.632
Truck-10,Route-10,(425.0 0.0 155.5),(625.0 0.0 200.0),410.824,7.952,97.864
Truck-14,Route-14,(175.0 0.0 105.5),(375.0 0.0 200.0),413.68,7.952,100.728
Truck-30,Route-30,(425.0 0.0 205.5),(625.0 0.0 100.0),410.272,10.504,84.728
Truck-4,Route-4,(675.0 0.0 5.5),(125.0 0.0 150.0),417.368,50.232,62.144
Truck-29,Route-29,(675.0 0.0 5.5),(375.0 0.0 0.0),421.968,54.64,54.344
Truck-16,Route-16,(175.0 0.0 5.5),(375.0 0.0 200.0),422.712,10.888,101.816
Truck-28,Route-28,(425.0 0.0 105.5),(125.0 0.0 0.0),425.04,41.24,67.784
Truck-26,Route-26,(175.0 0.0 155.5),(375.0 0.0 100.0),428.048,35.728,87.312
Truck-24,Route-24,(675.0 0.0 105.5),(625.0 0.0 200.0),433.864,40.176,88.656
Truck-33,Route-33,(175.0 0.0 155.5),(625.0 0.0 0.0),438.032,36.752,96.264
Truck-25,Route-25,(175.0 0.0 105.5),(375.0 0.0 100.0),457.264,44.656,106.584
